id|~|scan_date|~|ticker|~|scan_time_et|~|minutes_since_open|~|gap_pct|~|prev_close|~|adv|~|adv_source|~|in_active_theme|~|rank_by_prescore|~|rank_by_gap|~|shortlisted_by_prescore|~|shortlisted_by_gap|~|acting_key|~|board_n|~|created_at
54|~|2026-08-24|~|NSSC|~|2026-08-24 12:05:00.027447+00|~||~|21.01|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:05:02.534044+00
90|~|2026-08-24|~|NSSC|~|2026-08-24 12:50:00.020434+00|~||~|19.98|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:50:02.349704+00
45|~|2026-08-24|~|NSSC|~|2026-08-24 11:55:00.023419+00|~||~|18.8|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:55:02.421448+00
94|~|2026-08-24|~|NSSC|~|2026-08-24 12:55:00.020687+00|~||~|19.98|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:55:02.318907+00
50|~|2026-08-24|~|NSSC|~|2026-08-24 12:00:00.019954+00|~||~|20.77|~|38.09|~|349938.949111|~|pending|~|f|~|3|~|2|~|t|~|t|~|prescore|~|5|~|2026-08-24 12:00:03.356108+00
150|~|2026-08-24|~|NSSC|~|2026-08-24 13:50:00.062143+00|~|20|~|34.22|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:50:06.906594+00
98|~|2026-08-24|~|NSSC|~|2026-08-24 13:00:00.088191+00|~||~|20.35|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:00:04.476085+00
86|~|2026-08-24|~|NSSC|~|2026-08-24 12:45:00.024463+00|~||~|20.58|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:45:02.433675+00
24|~|2026-08-24|~|NSSC|~|2026-08-24 11:30:00.039475+00|~||~|16.09|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:30:02.775808+00
102|~|2026-08-24|~|NSSC|~|2026-08-24 13:00:00.089559+00|~||~|20.35|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:00:05.532237+00
82|~|2026-08-24|~|NSSC|~|2026-08-24 12:40:00.024828+00|~||~|21.05|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:40:02.436761+00
106|~|2026-08-24|~|NSSC|~|2026-08-24 13:05:00.044387+00|~||~|20.35|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:05:02.906651+00
28|~|2026-08-24|~|NSSC|~|2026-08-24 11:35:00.032736+00|~||~|15.52|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:35:02.036479+00
111|~|2026-08-24|~|NSSC|~|2026-08-24 13:10:00.050086+00|~||~|19.19|~|38.09|~|349938.949111|~|pending|~|f|~|3|~|2|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:10:03.134354+00
