ticker|alert_date|ruleset|score_tier_stored|score_lo|score_hi|admit|status|reason|entered|entry_px|stop|target|partial_fired|final_reason|realized_r|gap_through|day0_missing_minutes|sessions_abstained
CRMD|2026-08-13|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|8.75|8.030000000000001|11.629999999999995|False|stop_hit|-1.0|False|7|0
HLIT|2026-08-13|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|14.48|12.879999999999999|20.880000000000006|False|stop_hit|-1.0|False|1|0
KURA|2026-08-13|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||10.0601||False|||False||0
OMER|2026-08-13|era_c_partial_8r|HIGH|45.0|52.5|reject|no_trade|window_out_of_orb|False||15.819999999999997||False|||False||0
ETON|2026-08-14|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|55.4427|50.577299999999994|74.90430000000003|False|stop_hit|1.0104616269988063|False|14|0
HTFL|2026-08-14|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|39.06|33.959999999999994|59.460000000000036|False|stop_hit|1.6384313725490158|False|0|0
LPTH|2026-08-14|era_c_partial_8r|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|settled||True|14.93|14.010000000000002|18.609999999999992|False|stop_hit|-1.0|False|0|0
NMAX|2026-08-14|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||9.54||False|||False||0
RDDT|2026-08-14|era_c_partial_8r|MODERATE|87.0|96.0|admit|settled||True|176.62|173.38|189.58000000000004|False|stop_hit|-1.0|False|0|0
STDN|2026-08-14|era_c_partial_8r|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|no_trade|setup:zero_range|False||||False|||False||0
VERA|2026-08-14|era_c_partial_8r|HIGH|123.0|123.0|admit|settled||True|31.29|29.310000000000002|39.20999999999999|False|sma_trail_stop|0.1717171717171719|False|7|0
ARGX|2026-08-17|era_c_partial_8r|HIGH|123.0|123.0|admit|settled||True|936.785|914.235|1026.9849999999997|True|stop_hit|3.520916481892095|True|22|0
CBRS|2026-08-17|era_c_partial_8r|none|75.0|82.5|admit|no_trade|window_out_of_orb|False||217.98||False|||False||0
AMLX|2026-08-18|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|30.07|27.089999999999996|41.990000000000016|False|stop_hit|1.4728187919463054|False|0|0
MRNA|2026-08-19|era_c_partial_8r|HIGH|81.6|90.6|admit|open_at_horizon||True|120.15|109.85|161.35000000000005|True|||False|0|0
MRVL|2026-08-19|era_c_partial_8r|HIGH|105.0|114.0|admit|settled||True|241.53|230.15|287.04999999999995|False|stop_hit|-1.0|False|0|0
TEM|2026-08-19|era_c_partial_8r|none|45.0|52.5|reject|no_trade|window_out_of_orb|False||53.66||False|||False||0
TWST|2026-08-19|era_c_partial_8r|HIGH|82.5|90.0|admit|no_trade|window_out_of_orb|False||123.5||False|||False||0
BULL|2026-08-20|era_c_partial_8r|HIGH|72.6|81.6|admit|no_entry|never_crossed_orb_high|False||8.870000000000001||False|||False|0|0
RARE|2026-08-20|era_c_partial_8r|HIGH|105.0|105.0|admit|no_entry|never_crossed_orb_high|False||26.9||False|||False|3|0
SCSC|2026-08-20|era_c_partial_8r|none|52.5|60.0|reject|no_entry|never_crossed_orb_high|False||62.120000000000005||False|||False|85|0
UUUU|2026-08-21|era_c_partial_8r|HIGH|63.0|70.5|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||14.370000000000001||False|||False||0
CHRN|2026-08-27|era_c_partial_8r|HIGH|105.0|105.0|admit|no_trade|window_out_of_orb|False||21.0||False|||False||0
CRWD|2026-08-27|era_c_partial_8r|HIGH|75.0|82.5|admit|open_at_horizon||True|210.99|201.28|250.11000000000013|False|||False|0|0
DG|2026-08-27|era_c_partial_8r|HIGH|67.5|75.0|admit|settled||True|127.84|125.35999999999999|137.76000000000008|False|stop_hit|-1.0|False|0|0
OKTA|2026-08-27|era_c_partial_8r|HIGH|90.0|90.0|admit|open_at_horizon||True|167.88|150.51999999999998|237.32000000000005|False|||False|0|0
VEEV|2026-08-27|era_c_partial_8r|HIGH|85.5|93.0|admit|no_trade|window_out_of_orb|False||268.48||False|||False||0
SOLS|2026-08-28|era_c_partial_8r|HIGH|67.5|75.0|admit|settled||True|66.75|62.69|82.99000000000001|False|stop_hit|-1.0|False|0|0
