ticker	d	tick	rt_gap	open_gap	hi_gap	prev_close	tailx	fwd_n	adr_pct
WYFI	2026-08-13	09:45	12.18	4.27	13.23	28.58	1.2433967864026971	2	11.428194485504424
EROC	2026-08-13	09:50	11.29	7.89	22.36	13.82	1.2366245980021926	2	10.792365562658334
ABX	2026-08-14	09:35	11.27	6.10	13.03	8.52	-0.13363044615187902	1	4.843575768675201
AVEX	2026-08-14	09:35	11.06	6.37	13.07	20.89	0.31446833897995036	1	8.414963372469325
BANL	2026-08-14	09:45	18.83	1.57	72.61	7.01	0.5720086425159067	1	15.514900034656373
AAOI	2026-08-14	09:50	11.12	0.24	17.92	130.08	0.6209284355588744	1	11.477485044093234
OCUL	2026-08-17	07:15	11.45	7.57	11.50	10.04		0	4.344833754408397
XHLD	2026-08-17	09:40	11.56	1.87	30.95	5.88		0	29.299327724359447
CAPR	2026-08-17	09:45	10.53	3.31	14.14	6.65		0	13.417055367294445
RCMT	2026-08-17	09:50	12.92	4.22	16.06	35.05		0	3.1179821291619403
AGPU	2026-08-17	09:55	11.73	-5.20	31.59	8.27		0	12.540660742694207
