=== CONTROL_TICK ===
scan_date|ticker|dist_sec|minutes_since_open|gap_pct|prev_close|rel_volume|today_volume|adv|market_cap|float_shares|ep_score|filter_reason
2026-06-22|SYRE|840.065210|15|10.92|88.34|0.03||2420429||||filter:session_rvol_too_low: session_rvol=0.92x (today 63,335 / baseline 68,620 n=22) < 1.0x
2026-06-22|UMC|0.021432|1|12.67|24.08|0.06||17549741.261777498|||0|score 0 < 50 (catalyst=routine)
2026-06-23|ZETA|5759.982216||10.01|18.47|0.08||9586769.9127415|||36|score 36 < 50 (catalyst=strong)
2026-06-24|ABSI|0.023572|1|25.76|7.41|0.84||5173585.9885444995||||already scored earlier today
2026-06-24|FCEL|0.023572|1|14.12|21.82|0.19||11826703.302737||||already scored earlier today
2026-06-24|KBH|1140.061251|20|13.79|52.73|0.16||1231907.108414|||30|score 30 < 50 (catalyst=routine)
2026-06-24|RUN|0.023572|1|17.25|12.81|0.68||8232652.804902|||24|score 24 < 50 (catalyst=routine)
2026-06-24|WEN|0.023572|1|30.62|6.255|2.78||9873672.7500195||||already scored earlier today
2026-06-25|AYI|840.065642|15|13.9|305.51|0.04||382917.61380249995||||pre-mkt volume 16,573 < 25,000 shares
2026-06-25|BB|0.020067|1|12.53|8.62|0.11||42064277.6989665|||-12|score -12 < 50 (catalyst=routine)
2026-06-25|KYMR|359.959210||10.94|99.87|0.01||677798.4855865|||30|score 30 < 50 (catalyst=strong)
2026-06-25|MLKN|1440.082659|25|14.73|17.24|0.13||886719.951428|||26.4|score 26 < 50 (catalyst=routine)
2026-06-25|MU|0.020067|1|17.41|1048.51|0.08||59730697.253147006||||already scored earlier today
2026-06-25|SNDK|0.020067|1|15.59|1914.46|0.06||11924589.327371001|||5|score 5 < 50 (catalyst=routine)
2026-06-25|SNX|6659.983118||11.22|283.22|0.01||860911.5788005|||72|
2026-06-25|WDC|0.020067|1|13.57|643.83|0.05||8118802.8137435|||0|score 0 < 50 (catalyst=routine)
2026-06-25|WGO|1440.082659|25|13.27|27.27|0.27||774387.455442|||38|score 38 < 50 (catalyst=routine)
2026-06-26|ACAD|0.035358|1|10.5|23.72|0.05||1426941.923163||||already scored earlier today
2026-06-26|APOG|4859.976867||12.13|42.48|0.05||263725.11615|||24|score 24 < 50 (catalyst=strong)
2026-06-26|ZSQR|0.035358|1|10.66|12.2|0||338191.19402249996|||43|score 43 < 50 (catalyst=strong)
2026-06-29|CHTR|0.018572|1|26.53|133.64|0.5||2924312.9928205|||40|score 40 < 50 (catalyst=routine)
2026-06-29|LBRDK|0.018572|1|27.51|31.33|0.04||2090210.7039005|||40|score 40 < 50 (catalyst=routine)
2026-06-29|OUST|1140.049513|20|16.02|42.02|0.16||5263060.4206395|||70|
2026-06-29|QDEL|0.018572|1|23.28|13.79|0.04||1733603.487332|||39.6|score 40 < 50 (catalyst=routine)
2026-06-29|VSAT|1140.049513|20|13.01|61.95|0.08||3391446.978452|||0|score 0 < 50 (catalyst=routine)
2026-06-30|AVAV|0.016952|1|29.06|139|0.62||1250191.447188||||already scored earlier today
2026-06-30|ENPH|0.016952|1|10.8|48.34|0.13||8239070.20864|||27.6|score 28 < 50 (catalyst=routine)
2026-06-30|SEDG|1559.967365||10.19|55.36|0.06||3144186.9126230003||||already scored earlier today
2026-07-01|GRND|1140.076368|20|13.26|14.37|0.29||1803778.4307855|||56.4|
2026-07-01|PRGS|1140.076368|20|11.67|33.58|0.35||747601.2726769999|||30|score 30 < 50 (catalyst=routine)
2026-07-02|NEXA|0.030692|1|12.13|12.04|0.11||913409.8176160001|||24|score 24 < 50 (catalyst=routine)
2026-07-06|IREN|1440.054695|25|12.16|38.82|0.17||47992017.643243|||45|score 45 < 50 (catalyst=strong)
2026-07-06|RGNX|1140.061343|20|11.07|13.28|0.13||1843147.5033175|||17|score 17 < 50 (catalyst=strong)
2026-07-06|WULF|0.036841|1|15.72|21.18|0.22||28172594.6499165||||already scored earlier today
2026-07-07|AGIO|1140.038895|20|11.05|37.39|0.18||1064544.752328|||48|score 48 < 50 (catalyst=strong)
2026-07-07|DOCN|0.022533|1|13.42|131.37|0.03||3308520.0824725||||already scored earlier today
2026-07-08|BBOT|0.027870|1|10.49|8.29|0.01||399523.793789|||43|score 43 < 50 (catalyst=strong)
2026-07-08|KC|0.027870|1|10.17|9.44|0.14||1394423.3671845002|||38|score 38 < 50 (catalyst=strong)
2026-07-08|PENG|1440.050452|25|10.52|62.71|0.34||3839999.308129|||72|
2026-07-09|ALNY|0.029172|1|16.85|323.5|0.35||1236666.2057710001|||20|score 20 < 50 (catalyst=routine)
2026-07-09|BBIO|659.955169||10.43|78.33|0.21||3057838.303304|||15|score 15 < 50 (catalyst=routine)
2026-07-09|ICHR|840.046999|15|14.38|88.81|0.03||1226721.11009||||filter:session_rvol_too_low: session_rvol=0.38x (today 37,358 / baseline 99,726 n=20) < 1.0x
2026-07-09|SMPL|0.029172|1|19.54|12.84|0.1||2006430.408209|||35|score 35 < 50 (catalyst=routine)
2026-07-09|UCTT|840.046999|15|14.52|100.91|0.1||1498575.4967470001|||12|score 12 < 50 (catalyst=routine)
2026-07-10|CRCL|0.033064|1|12.35|63.01|0.46||13917309.1186825||||already scored earlier today
2026-07-10|EQPT|0.033064|1|10.94|16|0.09||2628540.459118|||30|score 30 < 50 (catalyst=routine)
2026-07-10|VOD|0.033064|1|12.92|13.08|0.12||3665529.780936|||30|score 30 < 50 (catalyst=strong)
2026-07-10|WDFC|0.033064|1|16.53|239.42|0.15||144236.5949475||||already scored earlier today
2026-07-14|CLSK|0.020994|1|19.34|12.36|0.33||19612605.694405||||already scored earlier today
2026-07-14|TSEM|0.020994|1|19.42|229.68|0.14||1899788.849718||||already scored earlier today
2026-07-15|AEHR|0.039144|1|33.95|72.01|0.29||1920275.564948||||already scored earlier today
2026-07-15|ANGO|1440.063425|25|10.54|13|0.33||359957.795943|||32|score 32 < 50 (catalyst=routine)
2026-07-15|MANE|1140.069573|20|11.08|110.17|0.12||565630.1430795||||already scored earlier today
2026-07-15|PRG|0.039144|1|10.55|45.21|0||536983.400619||||filter:session_rvol_too_low: session_rvol=0.05x (today 537 / baseline 10,878 n=19) < 1.0x
2026-07-16|ABT|1140.047213|20|10.59|89.27|0.21||13255145.1504375|||25|score 25 < 50 (catalyst=routine)
2026-07-16|CDNA|0.022244|1|18.59|29.75|0.18||847732.5479065|||10|score 10 < 50 (catalyst=routine)
2026-07-16|GHRS|0.022244|1|12.52|26.92|0.21||204474.10926300002|||5|score 5 < 50 (catalyst=routine)
