ticker	d	scan_n	reasons	max_score
SPRC	2026-07-30	2	already up 93% in prior 5 days (extended) ;; outside top-20 gap cap (gap 13.2%)	""
ST	2026-07-30	0	""	""
STGW	2026-07-30	14	outside top-20 gap cap (gap 10.2%) ;; outside top-20 gap cap (gap 11.1%) ;; score 15 < 50 (catalyst=routine)	15
UMAC	2026-07-30	0	""	""
WOLF	2026-07-30	0	""	""
AEIS	2026-07-31	1	outside top-20 gap cap (gap 10.8%)	""
AMCX	2026-07-31	1	quality filter: filter:mcap_too_small: $477M < $500M	""
BELFB	2026-07-31	1	outside top-20 gap cap (gap 10.7%)	""
BGDE	2026-07-31	26	quality filter: filter:adv_too_low: $529,814	""
BLZE	2026-07-31	2	filter:session_rvol_too_low: session_rvol=0.95x (today 279,352 / baseline 293,426 n=22) < 1.0x ;; <none>	72
CSTL	2026-07-31	1	score 40 < 50 (catalyst=routine)	40
EROC	2026-07-31	27	outside top-20 gap cap (gap 10.6%) ;; routine catalyst, gap 11.3% ;; routine catalyst, gap 11.4% ;; routine catalyst, gap 11.5% ;; routine catalyst, gap 11.7%	""
FET	2026-07-31	11	already scored earlier today ;; filter:session_rvol_too_low: session_rvol=0.04x (today 184 / baseline 4,260 n=20) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.05x (today 184 / baseline 3,588 n=20) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.08x (today 184 / baseline 2,202 n=20) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.09x (today 184 / baseline 2,153 n=20) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.15x (today 820 / baseline 5,300 n=20) < 1.0x ;; <none>	84
FORR	2026-07-31	1	outside top-20 gap cap (gap 10.1%)	""
IESC	2026-07-31	24	filter:session_rvol_too_low: session_rvol=0.26x (today 2,617 / baseline 10,212 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.41x (today 2,617 / baseline 6,378 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.43x (today 5,449 / baseline 12,748 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.83x (today 12,498 / baseline 14,984 n=22) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.86x (today 2,617 / baseline 3,058 n=22) < 1.0x ;; pre-mkt volume 1,389 < 25,000 shares ;; pre-mkt volume 1,756 < 25,000 shares ;; pre-mkt volume 1,940 < 25,000 shares ;; pre-mkt volume 19,837 < 25,000 shares ;; pre-mkt volume 2,505 < 25,000 shares ;; pre-mkt volume 2,617 < 25,000 shares ;; pre-mkt volume 682 < 25,000 shares ;; pre-mkt volume 794 < 25,000 shares	""
STI	2026-07-31	0	""	""
ALGT	2026-08-03	7	filter:pm_rvol_too_low: pm_rvol=0.43x (today 429 / baseline 1,002 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.44x (today 429 / baseline 966 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.63x (today 693 / baseline 1,098 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.64x (today 693 / baseline 1,084 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.65x (today 693 / baseline 1,073 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.68x (today 693 / baseline 1,022 n=21) < 1.0x	""
DFNS	2026-08-03	25	already up 536% in prior 5 days (extended) ;; filter:pm_rvol_too_low: pm_rvol=0.19x (today 216,102 / baseline 1,134,858 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.21x (today 255,096 / baseline 1,226,525 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.25x (today 310,907 / baseline 1,253,436 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.34x (today 440,432 / baseline 1,291,801 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.40x (today 523,664 / baseline 1,313,145 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.41x (today 554,185 / baseline 1,352,259 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.43x (today 584,997 / baseline 1,369,938 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.45x (today 627,924 / baseline 1,394,115 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.47x (today 664,417 / baseline 1,409,911 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.49x (today 694,998 / baseline 1,426,326 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.54x (today 772,822 / baseline 1,437,065 n=21) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.57x (today 843,324 / baseline 1,470,682 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.58x (today 798,658 / baseline 1,385,541 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.58x (today 813,562 / baseline 1,404,474 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.58x (today 828,339 / baseline 1,434,174 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.59x (today 885,318 / baseline 1,494,683 n=22) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.60x (today 917,254 / baseline 1,520,075 n=22) < 1.0x	""
LIND	2026-08-03	2	<none> ;; score 20 < 50 (catalyst=strong)	70
MRDN	2026-08-03	0	""	""
NCDL	2026-08-03	0	""	""
WSM	2026-08-03	0	""	""
ACLS	2026-08-04	3	M&A/buyout catalyst — no momentum trade	""
ARVN	2026-08-04	2	score 35 < 50 (catalyst=routine)	35
BTDR	2026-08-04	10	already scored earlier today ;; <none> ;; outside top-20 gap cap (gap 11.3%) ;; outside top-20 gap cap (gap 12.0%) ;; outside top-20 gap cap (gap 12.1%) ;; outside top-20 gap cap (gap 12.8%)	80
EWTX	2026-08-04	2	outside top-20 gap cap (gap 11.4%) ;; score 27 < 50 (catalyst=routine)	27
FCUV	2026-08-04	0	""	""
