=== SECTYPE_COVERAGE ===
security_type|n|first_seen|last_seen
ETF|5612|2026-03-24|2026-08-31
CS|5598|2026-03-24|2026-08-31
WARRANT|523|2026-03-24|2026-08-31
PFD|453|2026-03-24|2026-08-31
ADRC|389|2026-03-24|2026-08-31
FUND|345|2026-03-30|2026-08-31
UNIT|341|2026-03-24|2026-08-31
SP|174|2026-03-30|2026-08-31
RIGHT|152|2026-03-24|2026-08-31
ETS|116|2026-06-15|2026-08-31
ETV|91|2026-08-17|2026-08-31
ETN|52|2026-08-17|2026-08-31
(12 rows)
=== BUCKET_MONTH ===
skip_category|mon|pre_sectype_filter|cls|n|sessions|n20|tail20|lose20|n5|tail5_20|tail5_10|lose5|day0_red|tail20_day0red|tail5_day0red|gap_gt100
EFOR|2026-07-22|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.09393773894046983|20.03|20.38|-0.019470793809286097|0.16874687968047922|0.5951073389915126|0.6864702945581627
FET|2026-07-31|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.1942446043165468|61.42|62.67|0.14539238033213925|0.20856398567241943|0.3124389449690654|0.4233148811462064
LIFE|2026-08-04|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.1971090670170828|27.33|27.65|0.014270032930845247|0.2239297475301868|0.2806439809732895|0.4990815953165022
VOYG|2026-08-04|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.21349518029275258|33.99|33.49|0.021771109149749775|0.26213592233009697|-0.030303030303030335|0.3356869667549278
MTW|2026-08-07|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.20619282195636873|17.14|18.81|0.10210035005834306|0.2065344224037339||0.24504084014002328
HTFL|2026-08-14|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.2595936794582393|39.06|42.08|0.07373271889400909|0.27368151561699944||0.3256016385048642
TEM|2026-08-19|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.13411669367909232|55.98|61.25|0.19060378706680975|0.22329403358342279||0.3033226152197213
JLHL|2026-04-21|scan_filter|extension_gate|already up 60% in prior 5 days (extended)||CS|CS|0.13347457627118642|10.7|10|-0.14579439252336437|0.0037383177570094323|1.299065420560748|2.0700934579439254
POET|2026-04-22|scan_filter|extension_gate|already up 53% in prior 5 days (extended)||CS|CS|0.12439024390243907|11.525|12.77|0.01691973969631239|-0.4273318872017354|0.2824295010845986|0.8056399132321039
AKAN|2026-04-23|scan_filter|extension_gate|already up 226% in prior 5 days (extended)||CS|CS|0.2428991185112633|12.69|9.37|-0.036249014972419155|2.8581560283687946|0.8486997635933807|5.217486209613869
