file	line	func	class	parse_mode	arg0	in_wrapper_def	is_test
agents/market_intelligence/ep_detector.py	3075	send_rt_miss_digest	explicit_html_md_to_html	'HTML'	call:md_to_html	False	False
agents/market_intelligence/ep_detector.py	5508	run_ep_scan	default_markdown	<default>	binop	False	False
agents/market_intelligence/ep_detector.py	4918	run_ep_scan	default_markdown	<default>	fstring	False	False
agents/market_intelligence/exposure_family.py	145	shadow_check_and_emit	default_markdown	<default>	fstring	False	False
agents/market_intelligence/failure_policy.py	97	wrapper	explicit_html_native	'HTML'	fstring	False	False
agents/market_intelligence/flag_detector.py	1831	send_flag_digest	default_markdown	<default>	call:join	False	False
agents/market_intelligence/flag_detector.py	2231	run_intraday_flag_break_scan	default_markdown	<default>	call:join	False	False
agents/market_intelligence/flag_detector.py	2556	run_intraday_support_test_scan	default_markdown	<default>	call:join	False	False
agents/market_intelligence/flag_detector.py	2768	run_intraday_undercut_rally_scan	default_markdown	<default>	call:join	False	False
agents/market_intelligence/flag_detector.py	3117	run_intraday_ma_pullback_scan	default_markdown	<default>	call:join	False	False
agents/market_intelligence/flag_detector.py	3322	run_intraday_low_vol_rest_scan	default_markdown	<default>	call:join	False	False
agents/market_intelligence/friday_watchlist.py	662	run_friday_watchlist	default_markdown	<default>	name:body	False	False
agents/market_intelligence/friday_watchlist.py	670	run_friday_watchlist	default_markdown	<default>	name:body	False	False
agents/market_intelligence/friday_watchlist.py	668	run_friday_watchlist	default_markdown	<default>	name:full	False	False
agents/market_intelligence/friday_watchlist.py	674	run_friday_watchlist	default_markdown	<default>	name:tv_block	False	False
agents/market_intelligence/health_checks.py	1248	_send_persistence_nag	default_markdown	<default>	name:body	False	False
agents/market_intelligence/health_checks.py	1262	_send_recovery_note	default_markdown	<default>	name:body	False	False
agents/market_intelligence/health_checks.py	1412	_emit_row_count_drift	default_markdown	<default>	call:join	False	False
agents/market_intelligence/health_checks.py	3060	run_ecosystem_reactivation_check	default_markdown	<default>	call:join	False	False
agents/market_intelligence/health_checks.py	3513	_run	default_markdown	<default>	call:join	False	False
agents/market_intelligence/health_checks.py	285	run_null_rate_sweep	default_markdown	<default>	name:body	False	False
agents/market_intelligence/health_checks.py	589	run_job_liveness_sweep	explicit_html_md_to_html	'HTML'	call:md_to_html	False	False
agents/market_intelligence/health_checks.py	837	run_evening_verify_heartbeat	default_markdown	<default>	binop	False	False
agents/market_intelligence/health_checks.py	964	run_health_heartbeat	default_markdown	<default>	name:body	False	False
agents/market_intelligence/health_checks.py	1583	run_db_growth_check	default_markdown	<default>	call:join	False	False
agents/market_intelligence/health_checks.py	2018	run_detector_liveness_check	default_markdown	<default>	call:join	False	False
agents/market_intelligence/health_checks.py	2734	run_theme_quality_check	default_markdown	<default>	name:body	False	False
agents/market_intelligence/health_checks.py	2766	run_theme_quality_check	default_markdown	<default>	name:body	False	False
agents/market_intelligence/health_checks.py	3150	_run	default_markdown	<default>	call:join	False	False
agents/market_intelligence/health_checks.py	790	run_evening_verify_heartbeat	default_markdown	<default>	fstring	False	False
agents/market_intelligence/health_checks.py	917	run_health_heartbeat	default_markdown	<default>	name:body	False	False
agents/market_intelligence/health_checks.py	3344	_run	default_markdown	<default>	name:block	False	False
agents/market_intelligence/health_checks.py	3688	_run	default_markdown	<default>	call:join	False	False
agents/market_intelligence/health_checks.py	4410	_run	explicit_html_md_to_html	'HTML'	call:md_to_html	False	False
agents/market_intelligence/health_checks.py	4573	_run	default_markdown	<default>	call:join	False	False
agents/market_intelligence/health_checks.py	4154	_run	default_markdown	<default>	const	False	False
agents/market_intelligence/judge_named_themes.py	724	surface_new_candidates	explicit_html_native	'HTML'	name:text	False	False
agents/market_intelligence/judge_review.py	224	run	default_markdown	<default>	name:text	False	False
agents/market_intelligence/kill_scale_bands.py	412	run_band_evaluation	default_markdown	<default>	binop	False	False
agents/market_intelligence/llm_health.py	204	alert_credit_exhausted	explicit_html_native	'HTML'	fstring	False	False
agents/market_intelligence/llm_health.py	629	alert_api_failure	explicit_html_native	'HTML'	binop	False	False
agents/market_intelligence/llm_health.py	817	alert_endpoint_shape_anomaly	explicit_html_native	'HTML'	name:text	False	False
agents/market_intelligence/mgmt_judge.py	329	run_position_mgmt_judge	explicit_html_md_to_html	'HTML'	call:md_to_html	False	False
agents/market_intelligence/model_resolution.py	182	_send_telegram	explicit_html_native	'HTML'	name:text	False	False
agents/market_intelligence/ninem_detector.py	447	run_9m_scan	default_markdown	<default>	call:join	False	False
agents/market_intelligence/parabolic_detector.py	805	send_parabolic_digest	default_markdown	<default>	call:join	False	False
agents/market_intelligence/quarterly_review.py	329	quarterly_backward_check_sweep_job	explicit_html_md_to_html	'HTML'	call:md_to_html	False	False
agents/market_intelligence/regime.py	580	run_regime_engine	explicit_html_native	'HTML'	fstring	False	False
agents/market_intelligence/scheduler.py	1000	_check_nightly_silent_errors	default_markdown	<default>	call:join	False	False
agents/market_intelligence/scheduler.py	1356	_paper_trade_tracker_job	default_markdown	<default>	name:msg	False	False
agents/market_intelligence/scheduler.py	1709	_time_stop_scan_job	default_markdown	<default>	call:join	False	False
agents/market_intelligence/scheduler.py	2528	_coverage_watch_job	default_markdown	<default>	binop	False	False
agents/market_intelligence/scheduler.py	3293	_catalyst_downgrade_digest_job	default_markdown	<default>	call:join	False	False
agents/market_intelligence/scheduler.py	3583	_backup_health_check_job	explicit_markdown	'Markdown'	const	False	False
agents/market_intelligence/scheduler.py	3602	_backup_health_check_job	explicit_markdown	'Markdown'	fstring	False	False
