ticker|d|t_ms|o|h|l|c|v
ABVX|2026-06-04|1780602600000|102.93|103.06|102.6632|102.945|15366
ABVX|2026-06-04|1780602660000|102.945|103.35|102.945|103.33|22006
ABVX|2026-06-04|1780602720000|103.3|103.54|103.265|103.28|25477
ABVX|2026-06-04|1780602780000|103.37|103.5281|103.2|103.405|13194
ABVX|2026-06-04|1780602840000|103.4|103.99|103.38|103.925|23500
ABVX|2026-06-04|1780602900000|104|104.8219|103.8075|103.815|33442
ABVX|2026-06-04|1780602960000|103.9|104.24|103.84|104.19|26759
ABVX|2026-06-04|1780603020000|104.105|104.765|104.08|104.68|32756
ABVX|2026-06-04|1780603080000|104.7|104.87|104.52|104.69|80917
ABVX|2026-06-04|1780603140000|104.68|105.05|104.12|105|242796
ABVX|2026-06-04|1780603200000|104.93|105.46|104.39|105.46|61676
ARM|2026-05-21|1779370200000|266.895|271.22|266.0001|267.85|770031
ARM|2026-05-21|1779370260000|267.68|273.0199|267.0048|272.55|316841
ARM|2026-05-21|1779370320000|272.79|275.71|272.15|275.65|325499
ARM|2026-05-21|1779370380000|275.1401|276.33|273.7|273.7001|339376
ARM|2026-05-21|1779370440000|273.71|278.09|273.5|277.4|309514
ARM|2026-05-21|1779370500000|277.345|278|273.89|274.1701|205864
ARM|2026-05-21|1779370560000|274.01|275.6975|273.22|275.68|161250
ARM|2026-05-21|1779370620000|275.655|278.5|275.411|277.5088|167259
ARM|2026-05-21|1779370680000|277.65|279.89|277.5101|278.3|222475
ARM|2026-05-21|1779370740000|278.1965|279.67|276.5|278.625|167945
ARM|2026-05-21|1779370800000|278.63|284.47|278.614|284.15|295265
ARM|2026-05-21|1779370860000|284.15|284.489|281.12|281.37|232187
ARM|2026-05-21|1779370920000|281.37|283.1099|281.12|282.635|150019
ARM|2026-05-21|1779370980000|282.61|282.9|281.0501|281.6|123940
ARM|2026-05-21|1779371040000|281.27|281.27|279.79|280.525|157639
ARM|2026-05-21|1779371100000|280.81|281.84|280|280.6807|93450
ARM|2026-05-21|1779371160000|280.695|281.83|280.4919|280.4919|73690
ARM|2026-05-21|1779371220000|280.61|281|278.88|279.815|117900
ARM|2026-05-21|1779371280000|279.68|280.19|278.7601|279.9899|100706
ARM|2026-05-21|1779371340000|279.8725|280.01|278.65|279|84149
ARM|2026-05-21|1779371400000|278.6601|280.2999|278.66|279.88|104534
ARM|2026-05-21|1779371460000|279.965|279.965|277.91|279|100110
ARM|2026-05-21|1779371520000|278.755|279.9299|278.5101|278.695|82212
ARM|2026-05-21|1779371580000|278.83|279.28|277.6783|277.7|81805
ARM|2026-05-21|1779371640000|277.99|279.34|276.78|277.03|137182
ARM|2026-05-21|1779371700000|276.99|278.91|276.7445|278.66|174783
ARM|2026-05-21|1779371760000|278.67|279.8639|278.435|279.54|75419
ARM|2026-05-21|1779371820000|279.54|280.3799|279.25|279.93|495164
ARM|2026-05-21|1779371880000|279.975|280.21|279|280.04|62855
ARM|2026-05-21|1779371940000|280.02|280.39|278.5|280.31|76308
ARM|2026-05-21|1779372000000|280.4|281|279.56|280.65|68376
