cell|ticker|alert_date|account_mode|fetched|status|reason|gate_skip|entered|entry_px|stop|target|realized_r|mark_r|final_reason
orb_low_hard|GO|2026-05-14|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.71 > 1.5x ATR 0.40|False||8.73||||
orb_low_hard|PONY|2026-05-26|paper|False|no_entry|never_crossed_orb_high||False||9.69||||
orb_low_hard|CORT|2026-07-30|live|False|settled||setup:stop_too_wide: 7.25 > 1.5x ATR 4.59|True|112.0|104.75|170.0|-0.20551724137930963||sma_trail_stop
orb_low_hard|AEVA|2026-08-06|live|False|settled||setup:stop_too_wide: 3.08 > 1.5x ATR 1.55|True|26.09|23.01|50.72999999999999|-1.0||stop_hit
orb_low_hard|ATRO|2026-08-12|live|False|settled||setup:stop_too_wide: 5.75 > 1.5x ATR 3.52|True|85.25|79.5|131.25|-0.528521739130435||stop_hit
orb_low_hard|HTFL|2026-08-14|live|False|settled||setup:stop_too_wide: 2.55 > 1.5x ATR 1.46|True|39.06|36.51|59.460000000000036|3.2768627450980317||stop_hit
orb_low_hard|BULL|2026-08-20|live|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.54 > 1.5x ATR 0.34|False||9.41||||
orb_low_hard|ROIV|2026-09-08|live|True|settled||setup:stop_too_wide: 1.90 > 1.5x ATR 1.21|True|40.4|38.5|55.59999999999999|-0.7263157894736824||stop_hit
adr_0.5_ladder|TLRY|2026-04-23|paper|True|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.76 > 1.5x ATR 0.46|False||9.038308091253898||||
adr_0.5_ladder|WST|2026-04-23|paper|True|settled|||True|315.0|310.83672986637947|375.0|-1.1457339655862828||stop_hit
adr_0.5_ladder|WKC|2026-04-24|paper|True|abstain|entry_window_gaps:1_of_29|setup:stop_too_wide: 2.70 > 1.5x ATR 0.56|False||29.450141603082546||||
