ticker	scan_date	adv_shares	n	last_close
BWMN	2026-08-10	155502.150000000000	20	27.23
CAPR	2026-08-17	9580078.450000000000	20	6.65
CARS	2026-08-07	712987.850000000000	20	11.74
CBRS	2026-07-30	5562223.100000000000	20	169.39
CBRS	2026-08-17	6529182.850000000000	20	218.98
CBZ	2026-07-29	685981.650000000000	20	46.7
CDRE	2026-08-06	333653.450000000000	20	31.03
CENX	2026-08-07	1839194.700000000000	20	45.95
CEPL	2026-08-12	338404.650000000000	20	7.6
CHRN	2026-07-30	376479.300000000000	20	18.52
CLRO	2026-08-10	3836399.200000000000	20	10.17
CLW	2026-07-29	157905.600000000000	20	17.51
COHU	2026-07-30	1083283.100000000000	20	39.34
COLL	2026-08-13	550573.650000000000	20	25.7
CON	2026-08-07	855585.400000000000	20	30.54
CORZ	2026-07-28	10289356.600000000000	20	20.74
CPS	2026-08-14	199388.800000000000	20	27.23
CRML	2026-08-21	5895096.450000000000	20	5.8
CRML	2026-08-25	6691899.100000000000	20	6.67
CSTL	2026-07-31	312841.450000000000	20	26.79
CVI	2026-07-30	859188.250000000000	20	34.62
DBGI	2026-07-30	38156.200000000000	20	12.01
DBGI	2026-08-12	198144.650000000000	20	15.8
DBGI	2026-08-19	215388.050000000000	20	10.905
DFNS	2026-08-03	8158191.350000000000	20	27.68
DFTX	2026-08-12	1823042.350000000000	20	40.91
DUOT	2026-08-17	714571.350000000000	20	9.11
EAF	2026-07-27	473389.050000000000	20	7.44
ECG	2026-07-30	554940.800000000000	20	109.17
EIKN	2026-08-19	374454.450000000000	20	11.65
ELOX	2026-08-11	65287.350000000000	20	17
ELOX	2026-08-20	54273.150000000000	20	18.155
EME	2026-07-30	463198.150000000000	20	672.48
EROC	2026-07-30	1427860.250000000000	20	8.99
EROC	2026-07-31	1443660.550000000000	20	9.88
EROC	2026-08-13	1865113.450000000000	20	13.82
EWTX	2026-08-04	997488.100000000000	20	38.38
FCUV	2026-08-04	5569635.350000000000	20	11.5
FCUV	2026-08-10	5697603.250000000000	20	5.2
FET	2026-07-31	144790.900000000000	20	51.43
FET	2026-08-06	191406.700000000000	20	75.52
FLS	2026-07-30	1846576.350000000000	20	69.94
FLXS	2026-08-18	52140.550000000000	20	70.86
FMC	2026-07-30	3976860.700000000000	20	10.01
FORR	2026-07-31	130538.250000000000	20	9.74
FRD	2026-08-07	83092.650000000000	20	37.72
FRMI	2026-07-30	18013451.800000000000	20	5.86
FRVO	2026-07-30	3278205.100000000000	20	17.08
FTH	2026-07-27	244330.050000000000	20	28.29
FTK	2026-08-05	364334.550000000000	20	28.21
FVR	2026-08-17	155927.300000000000	20	19.76
GENI	2026-07-27	4868267.350000000000	20	6.48
