ticker|alert_date|source|skip_category|skip_reason|ep_score|gap_pct|catalyst_quality|open_d0|close_d0|ret_1d|ret_5d|ret_20d|max_high_5d|max_high_20d|refreshed_et
VATE|2026-08-07|scan_filter|adv_low|quality filter: filter:adv_too_low: $745,625||43.59||11.04|12.11|-0.35416666666666663|-0.2789855072463768||0.2681159420289856|0.2681159420289856|2026-08-21 17:18:10
WLDN|2026-08-07|moderate_alert|moderate_tier||51.6|14.67|strong|85.965|86.24|-0.042517303553771896|0.005060198918164395||0.032047926481707616|0.032047926481707616|2026-08-21 17:18:10
WLDN|2026-08-07|scan_filter|duplicate_scan|already scored earlier today||17.81||85.965|86.24|-0.042517303553771896|0.005060198918164395||0.032047926481707616|0.032047926481707616|2026-08-21 17:18:10
YELP|2026-08-07|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.69x (today 29,523 / baseline 42,455 n=23) < 1.0x||15.26||27.11|25.56|-0.09443009959424561|-0.08889708594614534||0.07819992622648474|0.07819992622648474|2026-08-21 17:18:10
ABTC|2026-08-10|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.95x (today 233,752 / baseline 245,877 n=22) < 1.0x||12.36||7.35|7.07|-0.05850340136054418|-0.03129251700680266||0.046258503401360646|0.2190476190476192|2026-08-21 17:18:10
ACHR|2026-08-10|scan_filter|duplicate_scan|already scored earlier today||13.42||6.41|6.26|0.059282371294851775|-0.003120124804992272||0.13728549141965676|0.13728549141965676|2026-08-21 17:18:10
ACHR|2026-08-10|high_unentered|window_missed|window:out_of_orb: detected 09:45 ET|54|14.85|routine|6.41|6.26|0.059282371294851775|-0.003120124804992272||0.13728549141965676|0.13728549141965676|2026-08-21 17:18:10
ALOY|2026-08-10|scan_filter|score_below_50|score 24 < 50 (catalyst=routine)|24|11.65|routine|13.055|12.985|-0.023362696284948276|0.06127920337035624||0.1757947146687093|0.1757947146687093|2026-08-21 17:18:10
BWMN|2026-08-10|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $477M < $500M||55.16||42.35|42.42|0.0004722550177094692|0.0004722550177094692||0.00354191263282169|0.0068476977567886455|2026-08-21 17:18:10
CLRO|2026-08-10|scan_filter|extension_gate|already up 176% in prior 5 days (extended)||14.65||10.64|8.98|-0.40319548872180455|-0.5357142857142857||0.3234962406015038|0.3234962406015038|2026-08-21 17:18:10
FCUV|2026-08-10|scan_filter|adv_low|quality filter: filter:adv_too_low: $57,040||11.54||5.31|6.44|0.12994350282485884|0.22222222222222235||0.29755178907721286|0.8644067796610172|2026-08-21 17:18:10
HZO|2026-08-10|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||45.6||51.885|52.12|0.011082201021489888|0.007034788474510977||0.011082201021489888|0.011082201021489888|2026-08-21 17:18:10
INHD|2026-08-10|scan_filter|adv_low|quality filter: filter:adv_no_data||24.38||6.28|6.63|0.030254777070063615|0.2770700636942674||1.3487261146496814|1.3487261146496814|2026-08-21 17:18:10
NESR|2026-08-10|high_unentered|window_missed|window:out_of_orb: detected 09:45 ET|53.3|11.99|strong|32|35.79|0.12531249999999994|0.11812500000000004||0.15437499999999993|0.15437499999999993|2026-08-21 17:18:10
NESR|2026-08-10|scan_filter|duplicate_scan|already scored earlier today||14.54||32|35.79|0.12531249999999994|0.11812500000000004||0.15437499999999993|0.15437499999999993|2026-08-21 17:18:10
NXTC|2026-08-10|scan_filter|atr_high|quality filter: filter:atr_too_high: 15.7% > 15.0%||14.73||6.16|6.84|0.09253246753246758|0.2516233766233766||0.41558441558441567|0.41558441558441567|2026-08-21 17:18:10
RNA|2026-08-10|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $211M < $500M||13.45||12.25|12.24|0.001632653061224455|0.05795918367346946||0.08938775510204088|0.1326530612244898|2026-08-21 17:18:10
SLN|2026-08-10|moderate_alert|moderate_tier||84|18.83|strong|16.7|15.43|-0.11856287425149693|-0.14071856287425147||0.0524431137724552|0.0524431137724552|2026-08-21 17:18:10
SLN|2026-08-10|scan_filter|duplicate_scan|already scored earlier today||33.6||16.7|15.43|-0.11856287425149693|-0.14071856287425147||0.0524431137724552|0.0524431137724552|2026-08-21 17:18:10
STDN|2026-08-10|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=1.00x (today 198,985 / baseline 199,771 n=13) < 1.0x||11.08||8.85|11.45|0.36497175141242943|0.5039548022598871||0.5587570621468927|0.5587570621468927|2026-08-21 17:18:10
STI|2026-08-10|scan_filter|adv_low|quality filter: filter:adv_too_low: $692,745||10.73||7.74|8.45|0.023255813953488334|0.006459948320413414||0.1485788113695091|0.1485788113695091|2026-08-21 17:18:10
TH|2026-08-10|scan_filter|pm_rvol_low|filter:pm_rvol_too_low: pm_rvol=0.69x (today 1,713 / baseline 2,466 n=12) < 1.0x||12.17||15.53|16.07|0.07018673535093378|0.1635544108177721||0.16934964584674828|0.16934964584674828|2026-08-21 17:18:10
TH|2026-08-10|high_unentered|setup_other|setup:gap_below_floor: rt -5.0% < 10% floor (alert said 12.2%, last $15.68 vs prev close $16.51)|50.4|12.17|strong|15.53|16.07|0.07018673535093378|0.1635544108177721||0.16934964584674828|0.16934964584674828|2026-08-21 17:18:10
VREX|2026-08-10|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||48.19||18.39|18.46|0.0103317020119629|0.0038064165307232344||0.013050570962479522|0.013050570962479522|2026-08-21 17:18:10
ACVA|2026-08-11|scan_filter|score_below_50|score 28 < 50 (catalyst=routine)|27.6|11.98|routine|8.22|7.26|-0.055961070559610804|-0.07177615571776164||0.01642335766423355|0.01642335766423355|2026-08-21 17:18:10
AP|2026-08-11|scan_filter|score_below_50|score 24 < 50 (catalyst=routine)|24|10.61|routine|9.4|9.8|-0.020212765957446754|-0.0457446808510638||0.08829787234042553|0.08829787234042553|2026-08-21 17:18:10
APEI|2026-08-11|scan_filter|score_below_50|score 24 < 50 (catalyst=routine)|24|12.89|routine|50.35|45.72|-0.10367428003972193|-0.11241310824230394||0.010526315789473707|0.010526315789473707|2026-08-21 17:18:10
CAPL|2026-08-11|scan_filter|adv_low|quality filter: filter:adv_too_low: $662,951||11.99||22.85|22.44|0.01969365426695839|0.051641137855579854||0.07789496717724279|0.07789496717724279|2026-08-21 17:18:10
CODI|2026-08-11|scan_filter|score_below_50|score 38 < 50 (catalyst=routine)|38.4|15.97|routine|12.24|12.32|-0.013888888888888883|-0.029411764705882307||0.08251633986928103|0.08251633986928103|2026-08-21 17:18:10
ELOX|2026-08-11|scan_filter|adv_low|quality filter: filter:adv_too_low: $656,860||11.65||18.39|19.18|-0.006797172376291462|-0.007612833061446469||0.08537248504622079|0.2724252311038607|2026-08-21 17:18:10
FENC|2026-08-11|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $416M < $500M||12.7||12.16|12.78|-0.027138157894736847|-0.02384868421052639||0.08963815789473684|0.08963815789473684|2026-08-21 17:18:10
FF|2026-08-11|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $226M < $500M||26.94||6.59|6.37|-0.11229135053110777|-0.14112291350531103||0.06069802731411235|0.06069802731411235|2026-08-21 17:18:10
NBTX|2026-08-11|scan_filter|catalyst_downgrade|routine catalyst, gap 10.6%||10.56||39.27|38.72|0.004329004329004191|0.04609116373822243||0.1573694932518461|0.1647568118156353|2026-08-21 17:18:10
NIQ|2026-08-11|scan_filter|score_below_50|score 42 < 50 (catalyst=routine)|42|21.87|routine|13.71|16.58|0.22611232676878174|0.26331145149525886||0.28519328956965717|0.37709700948212965|2026-08-21 17:18:10
PIII|2026-08-11|scan_filter|adv_low|quality filter: filter:adv_too_low: $191,071||26.97||12.7|12.37|-0.0795275590551181|-0.15196850393700786||0.03385826771653555|0.03385826771653555|2026-08-21 17:18:10
QMCO|2026-08-11|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $464M < $500M||37.78||14.52|19.4|0.5106749311294766|0.6198347107438017||0.9145936639118458|0.9145936639118458|2026-08-21 17:18:10
RIOT|2026-08-11|high_unentered|high_unentered|ORB window unfilled|115.2|17.92|game_changer|23.57|20.24|-0.13788714467543486|-0.19770895205770048||0.003818413237165883|0.003818413237165883|2026-08-21 17:18:10
RIOT|2026-08-11|scan_filter|duplicate_scan|already scored earlier today||11.78||23.57|20.24|-0.13788714467543486|-0.19770895205770048||0.003818413237165883|0.003818413237165883|2026-08-21 17:18:10
RNW|2026-08-11|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||11.01||6.76|6.85|0.007396449704141985|0.008875739644970487||0.0133136094674556|0.0133136094674556|2026-08-21 17:18:10
RPD|2026-08-11|scan_filter|duplicate_scan|already scored earlier today||16.71||12.825|13.38|-0.04327485380116957|-0.018323586744639332||0.1536062378167642|0.1536062378167642|2026-08-21 17:18:10
SE|2026-08-11|scan_filter|duplicate_scan|already scored earlier today||11.48||127.87|131.51|0.0018769062328928528|-0.0907953390161883||0.0318292015328067|0.0318292015328067|2026-08-21 17:18:10
SE|2026-08-11|high_unentered|setup_other|setup:gap_below_floor: rt 9.2% < 10% floor (alert said 10.6%, last $125.36 vs prev close $114.80)|54.7|10.58|strong|127.87|131.51|0.0018769062328928528|-0.0907953390161883||0.0318292015328067|0.0318292015328067|2026-08-21 17:18:10
VATE|2026-08-11|scan_filter|adv_low|quality filter: filter:adv_too_low: $723,095||10.1||7.14|7.49|0.07422969187675074|0.0700280112044818||0.16385154061624665|0.16385154061624665|2026-08-21 17:18:10
WYHG|2026-08-11|scan_filter|extension_gate|already up 71% in prior 5 days (extended)||63.29||8.03|7.39|-0.18679950186799493|-0.3549190535491905||0.1731008717310088|0.1731008717310088|2026-08-21 17:18:10
AII|2026-08-12|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $396M < $500M||18.92||24.56|22.91|-0.02280130293159604|0.012622149837133645||0.048859934853420314|0.07512214983713365|2026-08-21 17:18:10
ANTX|2026-08-12|scan_filter|adv_low|quality filter: filter:adv_too_low: $795,234||11.24||6.09|6.28|-0.01806239737274211|-0.021346469622331676||0.1806239737274221|0.1806239737274221|2026-08-21 17:18:10
ATRO|2026-08-12|high_unentered|stop_too_wide|setup:stop_too_wide: ORB range $5.75 (7.2%) > 1.5x ATR $5.29|72|11.29|game_changer|84.22|87.89|0.09962004274519118|-0.030277843742578928||0.12158632153882683|0.12158632153882683|2026-08-21 17:18:10
ATRO|2026-08-12|scan_filter|duplicate_scan|already scored earlier today||16.81||84.22|87.89|0.09962004274519118|-0.030277843742578928||0.12158632153882683|0.12158632153882683|2026-08-21 17:18:10
BE|2026-08-12|high_unentered|window_missed|window:out_of_orb: detected 09:50 ET|84|15.16|strong|236.71|237.16|-0.002070043513159601|-0.12707532423640747||0.070128004731528|0.070128004731528|2026-08-21 17:18:10
BE|2026-08-12|scan_filter|duplicate_scan|already scored earlier today||12.89||236.71|237.16|-0.002070043513159601|-0.12707532423640747||0.070128004731528|0.070128004731528|2026-08-21 17:18:10
BRUN|2026-08-12|scan_filter|duplicate_scan|already scored earlier today||11.77||20.41|22.17|0.10485056344928959|-0.06859382655560993||0.3179813816756491|0.3179813816756491|2026-08-21 17:18:10
