q	scan_date	ticker	gap_pct	prev_close	rel_volume	filter_reason	ep_score	score_tier	catalyst_quality	adv	pm_rvol	rank_by_gap
scan	2026-08-24	ILLR	5.442101777238106	0.9059		filter:universe_prev_close_too_low: prior close $0.91 < $5.00 floor						
scan	2026-08-24	IMDX	5.299539170506922	4.34		filter:universe_prev_close_too_low: prior close $4.34 < $5.00 floor						
scan	2026-08-24	INCR	26.13035819142689	4.2575		filter:universe_prev_close_too_low: prior close $4.26 < $5.00 floor						
scan	2026-08-24	INEO	5.490271623964548	0.5191		filter:universe_prev_close_too_low: prior close $0.52 < $5.00 floor						
scan	2026-08-24	INM	10.273972602739736	1.46		filter:universe_prev_close_too_low: prior close $1.46 < $5.00 floor						
scan	2026-08-24	IPDN	6.2753036437246985	0.1482		filter:universe_prev_close_too_low: prior close $0.15 < $5.00 floor						
scan	2026-08-24	JAB	10.76458752515091	9.94		filter:universe_prev_day_illiquid: prior-day volume 6,272 < 50,000 shares floor						
scan	2026-08-24	JLHL	11.32	6.6	0.28	quality filter: filter:atr_too_high: 25.1% > 15.0%				340967.817676		4
scan	2026-08-24	JZ	11.363636363636363	2.2		filter:universe_prev_close_too_low: prior close $2.20 < $5.00 floor						
scan	2026-08-24	LANV	9.980952380952381	1.05		filter:universe_prev_close_too_low: prior close $1.05 < $5.00 floor						
scan	2026-08-24	LEDS	8.1151832460733	1.91		filter:universe_prev_close_too_low: prior close $1.91 < $5.00 floor						
scan	2026-08-24	LESL	5.690515806988354	0.601		filter:universe_prev_close_too_low: prior close $0.60 < $5.00 floor						
scan	2026-08-24	LEXX	7.833256985799363	10.915		filter:universe_prev_day_illiquid: prior-day volume 8,919 < 50,000 shares floor						
scan	2026-08-24	LGHL	21.414473684210524	0.608		filter:universe_prev_close_too_low: prior close $0.61 < $5.00 floor						
scan	2026-08-24	LGVN	5.337909811812052	0.8449		filter:universe_prev_close_too_low: prior close $0.84 < $5.00 floor						
scan	2026-08-24	LHSW	7.200000000000006	2.5		filter:universe_prev_close_too_low: prior close $2.50 < $5.00 floor						
scan	2026-08-24	LITS	6.0927553804183106	0.9897		filter:universe_prev_close_too_low: prior close $0.99 < $5.00 floor						
scan	2026-08-24	LOBO	6.122135056145201	0.6501		filter:universe_prev_close_too_low: prior close $0.65 < $5.00 floor						
scan	2026-08-24	LONA	5.595315549772292	7.685		filter:universe_prev_day_illiquid: prior-day volume 9,651 < 50,000 shares floor						
scan	2026-08-24	LSTA	14.193548387096772	1.55		filter:universe_prev_close_too_low: prior close $1.55 < $5.00 floor						
scan	2026-08-24	LUCY	57.87395818102065	0.6839		filter:universe_prev_close_too_low: prior close $0.68 < $5.00 floor						
scan	2026-08-24	MBRX	5.817875210792576	0.593		filter:universe_prev_close_too_low: prior close $0.59 < $5.00 floor						
scan	2026-08-24	MDXH	7.65711209796798	0.7431		filter:universe_prev_close_too_low: prior close $0.74 < $5.00 floor						
scan	2026-08-24	MERC	5.734430082256177	0.4255		filter:universe_prev_close_too_low: prior close $0.43 < $5.00 floor						
scan	2026-08-24	MHH	5.73333333333333	7.5		filter:universe_prev_day_illiquid: prior-day volume 9,608 < 50,000 shares floor						
scan	2026-08-24	MINE	5.844155844155835	3.08		filter:universe_prev_close_too_low: prior close $3.08 < $5.00 floor						
scan	2026-08-24	MNOV	5.035971223021588	1.39		filter:universe_prev_close_too_low: prior close $1.39 < $5.00 floor						
scan	2026-08-24	MODD	5.367231638418078	3.54		filter:universe_prev_close_too_low: prior close $3.54 < $5.00 floor						
scan	2026-08-24	MPU	5.044371788883688	0.2141		filter:universe_prev_close_too_low: prior close $0.21 < $5.00 floor						
scan	2026-08-24	MREO	5.371900826446282	0.2904		filter:universe_prev_close_too_low: prior close $0.29 < $5.00 floor						
scan	2026-08-24	MRKR	7.187050359712238	1.39		filter:universe_prev_close_too_low: prior close $1.39 < $5.00 floor						
scan	2026-08-24	MSGM	5.689001264222495	3.955		filter:universe_prev_close_too_low: prior close $3.96 < $5.00 floor						
scan	2026-08-24	MTVA	5.815068493150683	1.46		filter:universe_prev_close_too_low: prior close $1.46 < $5.00 floor						
scan	2026-08-24	MVIS	6.024096385542174	1.66		filter:universe_prev_close_too_low: prior close $1.66 < $5.00 floor						
scan	2026-08-24	NCEL	5.814202960738031	3.2627		filter:universe_prev_close_too_low: prior close $3.26 < $5.00 floor						
scan	2026-08-24	NFE	5.418181818181806	0.275		filter:universe_prev_close_too_low: prior close $0.28 < $5.00 floor						
scan	2026-08-24	NIXX	5.008839127872721	0.6788		filter:universe_prev_close_too_low: prior close $0.68 < $5.00 floor						
scan	2026-08-24	NPWR	11.470588235294121	1.7		filter:universe_prev_close_too_low: prior close $1.70 < $5.00 floor						
scan	2026-08-24	NRSN	6.032420940738771	0.3763		filter:universe_prev_close_too_low: prior close $0.38 < $5.00 floor						
scan	2026-08-24	NSSC	34.22	38.09	1.33	score 52 < bar 65 (catalyst=strong)	52.5		strong	272546.069019	29.247	2
scan	2026-08-24	NTRB	5.003857363277888	4.6664		filter:universe_prev_close_too_low: prior close $4.67 < $5.00 floor						
scan	2026-08-24	OBAI	6.462489463332402	0.3559		filter:universe_prev_close_too_low: prior close $0.36 < $5.00 floor						
scan	2026-08-24	OLOX	13.875598086124405	2.09		filter:universe_prev_close_too_low: prior close $2.09 < $5.00 floor						
scan	2026-08-24	OMH	10.887949260042271	0.0946		filter:universe_prev_close_too_low: prior close $0.09 < $5.00 floor						
scan	2026-08-24	ORGO	5.538888888888883	1.8		filter:universe_prev_close_too_low: prior close $1.80 < $5.00 floor						
scan	2026-08-24	PDCC	14.009111617312078	8.78		filter:universe_prev_day_illiquid: prior-day volume 1,872 < 50,000 shares floor						
scan	2026-08-24	PDSB	5.263157894736847	0.2185		filter:universe_prev_close_too_low: prior close $0.22 < $5.00 floor						
scan	2026-08-24	PLAG	20.087655222790353	0.6845		filter:universe_prev_close_too_low: prior close $0.68 < $5.00 floor						
scan	2026-08-24	PMI	27.85046728971963	3.21		filter:universe_prev_close_too_low: prior close $3.21 < $5.00 floor						
scan	2026-08-24	POAS	5.331680099194046	0.1613		filter:universe_prev_close_too_low: prior close $0.16 < $5.00 floor						
scan	2026-08-24	POM	9.462161877697095	0.9501		filter:universe_prev_close_too_low: prior close $0.95 < $5.00 floor						
scan	2026-08-24	PPCB	7.407407407407393	1.08		filter:universe_prev_close_too_low: prior close $1.08 < $5.00 floor						
scan	2026-08-24	PRPL	5.177215189873413	5.53		filter:universe_prev_day_illiquid: prior-day volume 10,652 < 50,000 shares floor						
scan	2026-08-24	PSIG	6.810035842293905	2.79		filter:universe_prev_close_too_low: prior close $2.79 < $5.00 floor						
scan	2026-08-24	PUSA	12.244897959183671	3.43		filter:universe_prev_close_too_low: prior close $3.43 < $5.00 floor						
scan	2026-08-24	PWCM	5.185185185185174	1.35		filter:universe_prev_close_too_low: prior close $1.35 < $5.00 floor						
scan	2026-08-24	QNC	7.0422535211267565	2.13		filter:universe_prev_close_too_low: prior close $2.13 < $5.00 floor						
