d	ticker	tick_et	rt_gap	delayed_gap	basis	q1_pass	quote_state	pcv	auth
2026-08-07	HALO	09:40	11.5	3.78	latest_trade	true	fresh	true	false
2026-08-07	ZD	09:40	10.32	1.57	latest_trade	true	fresh	true	false
2026-08-07	ALOY	09:40	11.81	4.02	latest_trade	true	fresh	true	false
2026-08-07	CENX	09:40	12.93	1.2	latest_trade	true	fresh	true	false
2026-08-07	PDFS	09:40	10.61	2.46	latest_trade	true	fresh	true	false
2026-08-07	BAND	09:45	12.18	1.59	latest_trade	true	fresh	true	false
2026-08-07	TSEM	09:45	11.55	3.04	latest_trade	true	fresh	true	false
2026-08-07	AIRJ	09:45	10.99	3.31	latest_trade	true	fresh	true	false
2026-08-07	RDW	09:45	11.83	4.23	latest_trade	true	fresh	true	false
2026-08-07	TILE	09:50	11.0	4.72	latest_trade	true	fresh	true	false
2026-08-07	CARS	09:50	11.24	4.77	latest_trade	true	fresh	true	false
2026-08-10	VREX	07:00	48.35		latest_trade	true	fresh	true	false
2026-08-10	TH	07:05	12.17	4.18	latest_trade	true	fresh	true	false
2026-08-10	HZO	07:10	35.93	-1.29	latest_trade	true	fresh	true	false
2026-08-10	SLN	07:40	65.52	2.09	latest_trade	true	fresh	true	false
2026-08-10	BWMN	08:05	54.79		latest_trade	true	fresh	true	false
2026-08-10	ACHR	08:05	14.31	0.19	latest_trade	true	fresh	true	false
2026-08-10	RNA	08:15	13.45		latest_trade	false	stale	true	false
2026-08-10	FCUV	09:35	22.12	0.96	latest_trade	true	fresh	true	false
2026-08-10	STDN	09:40	11.08	3.91	latest_trade	true	fresh	true	false
2026-08-10	CLRO	09:40	14.65	2.97	latest_trade	true	fresh	true	false
2026-08-10	TNXP	09:45	12.3	-2.74	latest_trade	true	fresh	true	false
2026-08-10	LFST	09:45	11.16	0.18	latest_trade	true	fresh	true	false
2026-08-11	WSHP	07:20	18.11		latest_trade	true	fresh	true	false
2026-08-11	ACVA	07:20	10.61	-14.88	latest_trade	true	fresh	true	false
2026-08-11	QMLS	08:40	16.81	3.19	latest_trade	true	fresh	true	false
2026-08-11	RNW	09:10	11.26	0.16	latest_trade	true	fresh	true	false
2026-08-11	RPD	09:35	16.78	4.95	latest_trade	true	fresh	true	false
2026-08-11	ELOX	09:35	11.65		latest_trade	true	fresh	true	false
2026-08-11	HPK	09:40	14.27	2.27	latest_trade	true	fresh	true	false
2026-08-11	VATE	09:45	11.5	0.7	latest_trade	true	fresh	true	false
2026-08-11	ALMR	09:45	12.5	3.61	latest_trade	true	fresh	true	false
2026-08-12	PRPL	07:00	14.48		latest_trade	true	fresh	true	false
2026-08-12	SMWB	07:05	12.41	2.07	latest_trade	true	fresh	true	false
2026-08-12	KRNT	07:15	10.24		latest_trade	true	fresh	true	false
2026-08-12	ATRO	07:15	12.51		latest_trade	false	stale	true	false
2026-08-12	WYFI	07:15	12.51	4.75	latest_trade	true	fresh	true	false
2026-08-12	DFTX	07:40	19.78	0.46	latest_trade	true	fresh	true	false
2026-08-12	DBGI	08:40	12.97	1.71	latest_trade	true	fresh	true	false
2026-08-12	BUUU	09:20	10.48		latest_trade	true	fresh	true	false
2026-08-12	ANTX	09:31	19.76		latest_trade	true	fresh	true	false
2026-08-12	ZTG	09:35	15.43	-1.29	latest_trade	true	fresh	true	false
2026-08-12	CEPL	09:40	11.32	0.0	latest_trade	true	fresh	true	false
2026-08-13	LNSR	07:10	15.26		latest_trade	true	fresh	true	false
2026-08-13	KGEI	07:20	10.52	4.43	minute_bar	false	fresh	true	false
2026-08-13	AMBP	07:50	12.45	3.95	minute_bar	false	fresh	true	false
2026-08-13	XE	09:30	15.18	1.28	latest_trade	true	fresh	true	false
2026-08-13	RRGB	09:31	10.42	3.06	latest_trade	true	fresh	true	false
2026-08-13	STEM	09:35	12.84	3.55	latest_trade	true	fresh	true	false
2026-08-13	COLL	09:40	11.52	4.39	latest_trade	true	fresh	true	false
2026-08-13	BLSH	09:40	12.12	-1.5	latest_trade	true	fresh	true	false
2026-08-13	WYFI	09:45	12.18	3.57	latest_trade	true	fresh	true	false
2026-08-13	EROC	09:50	11.29	4.5	latest_trade	true	fresh	true	false
2026-08-14	CPS	07:45	10.91	0.99	latest_trade	true	fresh	true	false
2026-08-14	OBX	08:25	10.99		latest_trade	true	fresh	true	false
