cohort	ticker	scan_date	max_gap	prev_close	n_min_bars	has_930	artifact	art_reason	status_0931	reason_0931	entered_0931	entry_px_0931	stop_0931	target_0931	realized_r_0931	mark_r_0931	final_0931	partial_0931	status_0936	reason_0936	entered_0936	entry_px_0936	stop_0936	target_0936	realized_r_0936	mark_r_0936	final_0936	partial_0936
excluded	VELO	2026-08-12	24.76	13.69	387	True	False		no_entry	never_crossed_orb_high	False		15.509999999999998					False	no_entry	never_crossed_orb_high	False		15.509999999999998					False
excluded	AIRO	2026-08-13	31.92	8.49	364	True	False		no_trade	setup:stop_too_wide: 0.77 > 1.5x ATR 0.47	False							False	no_trade	setup:stop_too_wide: 0.77 > 1.5x ATR 0.47	False							False
excluded	AZ	2026-08-13	13.68	6.47	374	True	False		settled		True	7.14	6.6	7.72	0.3580246913580247		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		6.6					False
excluded	DERM	2026-08-13	13.62	6.43	262	True	False		settled		True	7.51	7.029999999999999	7.99	-1.0		stop_hit	False	abstain	entry_window_gaps:3_of_24	False		7.029999999999999					False
excluded	FOSL	2026-08-13	12.33	5.27	358	True	False		settled		True	6.11	5.589999999999999	6.630000000000002	-1.0		stop_hit	False	abstain	entry_window_gaps:1_of_24	False		5.589999999999999					False
excluded	JACK	2026-08-13	17.06	18.77	371	True	False		no_entry	never_crossed_orb_high	False		20.832000000000004					False	no_entry	never_crossed_orb_high	False		20.832000000000004					False
excluded	RRGB	2026-08-13	22.02	8.16	349	True	False		settled		True	9.06	7.9	10.22	0.6235632183908051		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		7.9					False
excluded	CPS	2026-08-14	10.91	27.23	117	True	False		settled		True	28.26	27.679999999999996	28.980000000000008	-1.0		stop_hit	False	settled		True	28.26	27.679999999999996	28.980000000000008	-1.0		stop_hit	False
excluded	IMXI	2026-08-14	24.79	11.7	374	True	False		settled		True	14.25	13.870000000000001	14.629999999999999	-1.0		stop_hit	False	settled		True	14.28	13.870000000000001	14.719999999999997	-1.0		stop_hit	False
excluded	CNXU	2026-08-17	15.55	8.9	310	True	False		settled		True	10.37	9.050000000000002	11.689999999999996	-1.0		stop_hit	False	settled		True	10.37	9.050000000000002	11.689999999999996	-1.0		stop_hit	False
excluded	DUOT	2026-08-17	18.66	9.11	371	True	False		settled		True	10.3999	9.4001	11.399700000000001	-1.0		stop_hit	False	settled		True	10.45	9.4001	11.549999999999997	-1.0		stop_hit	False
excluded	DUOT	2026-08-18	21.3	10.28	384	True	False		settled		True	11.74	10.659999999999998	12.820000000000002	0.33333333333333337		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		10.659999999999998					False
excluded	FLXS	2026-08-18	11.49	70.86	177	True	False		no_trade	setup:stop_too_wide: 4.64 > 1.5x ATR 2.94	False							False	no_trade	setup:stop_too_wide: 4.64 > 1.5x ATR 2.94	False							False
excluded	ARCT	2026-08-19	41.78	8.21	375	True	False		no_trade	setup:stop_too_wide: 0.92 > 1.5x ATR 0.51	False							False	no_trade	setup:stop_too_wide: 0.92 > 1.5x ATR 0.51	False							False
excluded	OPHC	2026-08-19	19.64	10.03	94	True	False		settled		True	10.1	9.989999999999998	10.24	0.42424242424242137		stop_hit	True	settled		True	10.1	9.989999999999998	10.24	0.42424242424242137		stop_hit	True
excluded	HVT	2026-08-20	9.66	28.27	132	True	False		no_trade	setup:zero_range	False							False	no_trade	setup:zero_range	False							False
excluded	OPHC	2026-08-20	9.01	10.1	112	True	False		abstain	entry_window_gaps:13_of_29	False		9.99					False	abstain	entry_window_gaps:10_of_24	False		9.99					False
excluded	BKKT	2026-08-21	10.13	7.5	374	True	False		settled		True	7.98	7.643299999999999	8.320000000000002	0.33660033660033695		stop_hit	True	settled		True	8.02	7.643299999999999	8.44	0.3716485266790544		stop_hit	True
excluded	GLSI	2026-08-21	10.58	15.31	135	True	False		settled		True	16.24	15.46	17.099999999999994	0.36752136752136694		stop_hit	True	settled		True	16.24	15.46	17.099999999999994	0.36752136752136694		stop_hit	True
excluded	PAL	2026-08-21	16.89	5.21	252	True	False		no_trade	setup:zero_range	False							False	no_trade	setup:zero_range	False							False
excluded	BBCQ	2026-08-24	9.68	9.71	141	True	False		no_trade	setup:stop_too_wide: 0.17 > 1.5x ATR 0.09	False							False	no_trade	setup:stop_too_wide: 0.17 > 1.5x ATR 0.09	False							False
excluded	CAPR	2026-08-24	10.33	6.29	390	True	False		no_entry	never_crossed_orb_high	False		6.812000000000001					False	no_entry	never_crossed_orb_high	False		6.812000000000001					False
excluded	SUPX	2026-08-24	15.96	8.52	267	True	False		settled		True	9.75	7.809999999999999	11.690000000000001	-0.7128865979381435		stop_hit	False	settled		True	9.75	7.809999999999999	11.690000000000001	-0.7128865979381435		stop_hit	False
excluded	CAPR	2026-08-25	17.21	6.8	390	True	False		open_at_horizon		True	8.15	6.35	9.950000000000001		0.7518518518518513		True	open_at_horizon		True	8.15	6.35	9.950000000000001		0.7518518518518513		True
excluded	DTIL	2026-08-25	9.59	8.45	253	True	False		no_trade	setup:zero_range	False							False	no_trade	setup:zero_range	False							False
excluded	AVNW	2026-08-27	11.53	20.91	207	True	False		settled		True	23.45	22.499999999999996	24.41	-1.04210526315789		stop_hit	False	settled		True	23.44	22.499999999999996	24.380000000000006	-1.0425531914893569		stop_hit	False
excluded	FWDI	2026-08-27	11.47	5.93	390	True	False		settled		True	6.53	6.249999999999999	6.810000000000001	0.3333333333333333		stop_hit	True	settled		True	6.53	6.249999999999999	6.810000000000001	0.3333333333333333		stop_hit	True
