ticker	alert_date	gap_pct	ep_score	score_tier	catalyst_quality	in_active_theme	rel_volume	pm_rvol
WULF	2026-07-06	19.92	96	HIGH	game_changer	f	0.05	9.337
DOCN	2026-07-07	15.62	115.2	HIGH	game_changer	f	0.01	3.613
KC	2026-07-08	11.76	50	MODERATE	strong	f	0.31	2.55
PENG	2026-07-08	10.52	72	HIGH	game_changer	f	0.34	3.289
CRCL	2026-07-10	10.76	60	HIGH	game_changer	f	0.11	4.837
WDFC	2026-07-10	14.23	72	HIGH	game_changer	f	0.04	5.429
CLSK	2026-07-14	17.15	96	HIGH	game_changer	f	0.08	16.43
TSEM	2026-07-14	18.57	80	HIGH	game_changer	f	0.08	9.429
AEHR	2026-07-15	29.5	96	HIGH	game_changer	f	0.06	7.188
MANE	2026-07-15	11.08	72	HIGH	game_changer	f	0.02	6.225
MANE	2026-07-15	10.66	72	HIGH	game_changer	f	0.02	6.739
PRG	2026-07-15	21.65	80	MODERATE	strong	f	0	
SG	2026-07-17	15.16	56.4	none	routine	f	0.3	5.419
HUT	2026-07-20	11.54	72	HIGH	game_changer	f	0.01	4.195
IREN	2026-07-20	13.15	72	HIGH	game_changer	f	0.22	2.034
HAS	2026-07-21	10.61	72	HIGH	game_changer	f	0.62	19.977
ARWR	2026-07-22	19.57	80	HIGH	game_changer	f	0.01	25.831
EFOR	2026-07-22	12.37	50.4	MODERATE	routine	f	0.12	3.129
SMCI	2026-07-22	15.88	70	HIGH	strong	f	0.04	4.497
CLF	2026-07-23	15.03	84	MODERATE	strong	f	0.07	28.763
NVCR	2026-07-23	15.54	84	HIGH	strong	f	0.03	7.784
THC	2026-07-24	14.31	60	HIGH	game_changer	f	0	12.09
WKC	2026-07-24	11.63	60	HIGH	game_changer	f	0.01	53.894
NNE	2026-07-27	10.38	57	HIGH	strong	f	0.13	1.141
QBTS	2026-07-27	11.29	54	HIGH	strong	f	0.03	2.389
CORZ	2026-07-28	11.28	72	HIGH	game_changer	f	0.02	12.654
TER	2026-07-29	10.4	60	HIGH	game_changer	f	0.05	9.678
TEVA	2026-07-29	11.4	50.4	HIGH	strong	f	0.38	5.702
ARM	2026-07-30	10.77	60	HIGH	game_changer	f	0.08	5.586
CORT	2026-07-30	24.21	96	HIGH	strong	t	0.01	21.233
EME	2026-07-30	10.56	60	HIGH	game_changer	f	0	6.55
FTNT	2026-07-30	10.1	60	HIGH	game_changer	t	0.01	7.546
LRCX	2026-07-30	18.95	84	HIGH	strong	f	0.19	2.268
PWR	2026-07-30	12.09	60	HIGH	game_changer	f	0	7.956
SIMO	2026-07-30	19.18	80	HIGH	game_changer	f	0.03	4.721
BLZE	2026-07-31	13.06	72	HIGH	game_changer	t	0.13	1.151
COHU	2026-07-31	22.71	80	HIGH	game_changer	f	0.01	9.018
FET	2026-07-31	16.04	84	HIGH	strong	f	0	0.674
FLNC	2026-07-31	10.02	60	HIGH	game_changer	f	0.01	1.895
MPWR	2026-07-31	13.96	60	HIGH	game_changer	f	0.02	1.119
NWL	2026-07-31	13.42	60	HIGH	game_changer	f	0	24.914
FTK	2026-08-03	10.45	60	HIGH	game_changer	f	0.06	15.898
LIND	2026-08-03	15.55	70	HIGH	strong	f	0.09	2.572
AEIS	2026-08-04	15.39	84	HIGH	strong	f	0.01	13.058
AMRC	2026-08-04	38.72	50	HIGH	routine	f	0.27	7.615
BLZE	2026-08-04	19.14	80	HIGH	game_changer	t	0.02	12.735
BTDR	2026-08-04	24.1	80	HIGH	game_changer	f	0.06	6.643
CAT	2026-08-04	10	60	HIGH	game_changer	f	0.05	10.243
INSP	2026-08-04	22.29	55	MODERATE	routine	t	0.03	1.03
LIFE	2026-08-04	16.29	80	HIGH	game_changer	f	0.01	6.722
PLTR	2026-08-04	15.96	96	HIGH	game_changer	f	0.06	9.342
TSAT	2026-08-04	14.46	60	HIGH	game_changer	f	0.34	2.085
VOYG	2026-08-04	16.96	80	HIGH	game_changer	f	0.02	3.918
ZBRA	2026-08-04	10.75	60	HIGH	game_changer	f	0.05	34.955
APPS	2026-08-05	28.29	115.2	HIGH	strong	f	0.04	36.859
ECG	2026-08-05	10.96	72	HIGH	game_changer	f	0.06	1.717
HGTY	2026-08-05	11.69	60.5	HIGH	strong	f	0.14	
KMT	2026-08-05	14.39	72	HIGH	game_changer	f	0.01	9.257
KMT	2026-08-05	14.39	72	HIGH	game_changer	f	0.01	9.257
KODK	2026-08-05	10.86	54.7	HIGH	strong	f	0.01	4.629
KTOS	2026-08-05	11.26	64.8	HIGH	strong	f	0.05	12.007
PRGO	2026-08-05	13.17	54	MODERATE	strong	f	0.01	18.516
ROCK	2026-08-05	14.9	60.5	MODERATE	strong	f	0.1	3.765
TATT	2026-08-05	11.79	61.9	HIGH	strong	f	0.23	37.791
AEVA	2026-08-06	22.28	96	HIGH	strong	f	0.02	12.101
CAI	2026-08-06	17.11	50.4	HIGH	routine	f	0.13	2.637
DCTH	2026-08-06	21.3	54	HIGH	routine	f	1.13	11.398
INSM	2026-08-06	16.14	96	HIGH	game_changer	f	0	21.455
LFST	2026-08-06	18.8	96	HIGH	game_changer	f	0	6.946
RDW	2026-08-06	12.46	64.8	HIGH	strong	f	0.06	4.006
SITM	2026-08-06	28.88	96	HIGH	game_changer	f	0.01	8.617
SOUN	2026-08-06	25.19	62.4	MODERATE	routine	f	0.26	6.594
TASK	2026-08-06	11.39	50.4	MODERATE	routine	f	0.08	
TRUP	2026-08-06	18	60	MODERATE	routine	f	0.16	3.714
U	2026-08-06	18.41	96	HIGH	game_changer	f	0.05	12.533
ACMR	2026-08-07	15.09	100.8	HIGH	strong	f	0.06	3.341
ACMR	2026-08-07	15.09	100.8	HIGH	strong	f	0.06	3.341
CRSR	2026-08-07	16.87	84	MODERATE	strong	f	0.04	13.363
DOCS	2026-08-07	178.8	54	MODERATE	routine	f	1.23	4156.587
FIGS	2026-08-07	26.69	96	HIGH	game_changer	f	0.02	21.904
FROG	2026-08-07	17.51	100.8	HIGH	strong	f	0.01	6.839
INOD	2026-08-07	14.83	51.6	MODERATE	strong	f	0.08	8.309
MTW	2026-08-07	33.08	50.4	HIGH	routine	f	0.29	
NET	2026-08-07	15.67	100.8	HIGH	strong	t	0.03	7.913
ONTO	2026-08-07	15.31	96	HIGH	game_changer	f	0.16	2.21
PRAA	2026-08-07	16.61	84	MODERATE	strong	f	0.07	1.143
PSIX	2026-08-07	25.77	68.4	MODERATE	routine	f	0.34	4.496
PUBM	2026-08-07	36.87	96	MODERATE	strong	f	0.09	57.852
QNST	2026-08-07	27.92	96	HIGH	game_changer	f	0.01	23.031
TEAM	2026-08-07	31.66	115.2	HIGH	strong	f	0.17	25.543
TWLO	2026-08-07	17.97	84	HIGH	strong	f	0.02	21.538
