===SECTION_COVERAGE===
min_d|max_d|n_rows|n_dates
2025-12-26|2026-09-01|496880|132
(1 row)
===SECTION_RS===
ticker|ep_date|score_date|rs_composite|rs_rank
CRWV|2026-08-12|2026-08-11|49.7|1225
EROC|2026-08-12|2026-08-11|2.6|2373
GLBE|2026-08-12|2026-08-11|89.8|249
HRB|2026-08-12|2026-08-11|91|220
MRX|2026-08-12|2026-08-11|32.9|1634
NBIS|2026-08-12|2026-08-11|28.5|1742
WYFI|2026-08-12|2026-08-11|44.4|1356
BLSH|2026-08-13|2026-08-12|19.5|1952
CGEM|2026-08-13|2026-08-12|89.3|260
CRMD|2026-08-13|2026-07-15|64.3|888
HLIT|2026-08-13|2026-08-12|36.1|1550
KURA|2026-08-13|2026-08-12|43.4|1373
OMER|2026-08-13|2026-08-12|91.3|212
ETON|2026-08-14|2026-08-13|62.8|907
HTFL|2026-08-14|2026-08-13|73.8|639
LPTH|2026-08-14|2026-08-13|36.3|1553
NMAX|2026-08-14|2026-07-16|94.6|136
RDDT|2026-08-14|2026-08-13|19.4|1966
STDN|2026-08-14|2026-08-13|98.4|41
VERA|2026-08-14|2026-08-13|1.9|2392
ARGX|2026-08-17|2026-08-14|14.6|2087
CBRS|2026-08-17|2026-08-14|69.4|748
AMLX|2026-08-18|2026-08-17|88.6|280
MRNA|2026-08-19|2026-08-18|84.8|370
MRVL|2026-08-19|2026-08-18|75.5|596
TEM|2026-08-19|2026-08-18|56.9|1047
TWST|2026-08-19|2026-08-18|98.1|48
BULL|2026-08-20|2026-08-19|92|196
RARE|2026-08-20|2026-08-19|43.2|1390
SCSC|2026-08-20|2026-08-19|40.1|1466
UUUU|2026-08-21|2026-08-20|36.9|1529
CHRN|2026-08-27|2026-07-20|99.8|6
CRWD|2026-08-27|2026-08-26|56.1|1067
DG|2026-08-27|2026-08-26|34.1|1602
OKTA|2026-08-27|2026-08-26|58.6|1008
VEEV|2026-08-27|2026-08-26|97|74
SOLS|2026-08-28|2026-08-27|2.1|2365
(267 rows)
