scan_date	ticker	scan_et	gap_pct	prev_close	rel_volume	filter_reason	ep_score	score_tier	catalyst_quality	rank_by_gap	projected_vol_multiple	pm_rvol	adv	adv_source	minutes_since_open	price_source
2026-08-03	DFNS	2026-08-03 09:45:00.07075	51.95	27.68	1.8	already up 536% in prior 5 days (extended)				1	46.8	4.561	850478.415663	polygon_20d	15	polygon_delayed
2026-08-03	DFNS	2026-08-03 09:50:00.074366	65.14	27.68	1.96	already up 536% in prior 5 days (extended)				1	38.2	4.292	850478.415663	polygon_20d	20	polygon_delayed
2026-08-03	DFNS	2026-08-03 09:55:00.04166	77.02	27.68	2.41	already up 536% in prior 5 days (extended)				1	37.6	4.629	850478.415663	polygon_20d	25	polygon_delayed
2026-08-03	LIND	2026-08-03 09:50:00.074366	12.91	29.58	0.05	score 20 < 50 (catalyst=strong)	20		strong	4	1	1.982	884029.80804	polygon_20d	20	polygon_delayed
2026-08-03	LIND	2026-08-03 09:55:00.04166	15.55	29.58	0.09		70	HIGH	strong	5	1.4	2.572	884029.80804	polygon_20d	25	polygon_delayed
2026-08-04	ACLS	2026-08-04 08:40:00.025312	14.12	131.12	0	M&A/buyout catalyst — no momentum trade				12		2.473	577999.8524374999	polygon_20d		polygon_delayed
2026-08-04	ACLS	2026-08-04 08:45:00.022947	14.12	131.12	0	M&A/buyout catalyst — no momentum trade				14		2.445	577999.8524374999	polygon_20d		polygon_delayed
2026-08-04	ACLS	2026-08-04 08:50:00.03013	14.12	131.12	0	M&A/buyout catalyst — no momentum trade				13		2.481	577999.8524374999	polygon_20d		polygon_delayed
2026-08-04	ARVN	2026-08-04 09:50:00.056009	13.21	8.06	0.26	score 35 < 50 (catalyst=routine)	35		routine	20	5.1	3.398	643072.7823055	polygon_20d	20	polygon_delayed
2026-08-04	ARVN	2026-08-04 09:55:00.048389	14.21	8.06	0.42	score 35 < 50 (catalyst=routine)	35		routine	18	6.6	4.748	643072.7823055	polygon_20d	25	polygon_delayed
2026-08-04	BTDR	2026-08-04 08:20:00.037992	24.1	11.37	0.06		80	HIGH	game_changer	2		6.643	9828824.3525755	polygon_20d		polygon_delayed
2026-08-04	BTDR	2026-08-04 08:25:00.041833	15.3	11.37	0.11	already scored earlier today				11		12.15	9828824.3525755	polygon_20d		polygon_delayed
2026-08-04	BTDR	2026-08-04 08:30:00.027611	16.89	11.37	0.16	already scored earlier today				8		18.651	9828824.3525755	polygon_20d		polygon_delayed
2026-08-04	BTDR	2026-08-04 08:35:00.028857	13.19	11.37	0.19	already scored earlier today				17		20.462	9828824.3525755	polygon_20d		polygon_delayed
2026-08-04	BTDR	2026-08-04 08:40:00.025312	13.1	11.37	0.21	already scored earlier today				19		22.894	9828824.3525755	polygon_20d		polygon_delayed
2026-08-04	BTDR	2026-08-04 08:45:00.022947	11.35	11.37	0.23	outside top-20 gap cap (gap 11.3%)				24			9828824.3525755	polygon_20d		polygon_delayed
2026-08-04	BTDR	2026-08-04 08:55:00.017919	12.75	11.37	0.25	outside top-20 gap cap (gap 12.8%)				21			9828824.3525755	polygon_20d		polygon_delayed
2026-08-04	BTDR	2026-08-04 09:00:00.156985	11.98	11.37	0.26	outside top-20 gap cap (gap 12.0%)				22			9828824.3525755	polygon_20d		polygon_delayed
2026-08-04	BTDR	2026-08-04 09:10:00.053121	12.14	11.37	0.29	outside top-20 gap cap (gap 12.1%)				21			9828824.3525755	polygon_20d		polygon_delayed
2026-08-04	BTDR	2026-08-04 09:45:00.04515	12.49	11.37	0.37	already scored earlier today				20	9.6	5.842	9828824.3525755	polygon_20d	15	polygon_delayed
2026-08-04	EWTX	2026-08-04 09:50:00.056009	11.4	38.38	0.13	outside top-20 gap cap (gap 11.4%)				25	2.5		1068392.0006610001	polygon_20d	20	polygon_delayed
2026-08-04	EWTX	2026-08-04 09:55:00.048389	14.11	38.38	0.37	score 27 < 50 (catalyst=routine)	27		routine	19	5.8	7.154	1068392.0006610001	polygon_20d	25	polygon_delayed
2026-08-04	HLMN	2026-08-04 09:50:00.056009	11.79	8.31	0.13	outside top-20 gap cap (gap 11.8%)				22	2.5		1217198.5974725	polygon_20d	20	polygon_delayed
2026-08-04	HLMN	2026-08-04 09:55:00.048389	14.08	8.31	0.17	M&A/buyout catalyst — no momentum trade				20	2.7	2.451	1217198.5974725	polygon_20d	25	polygon_delayed
2026-08-04	INSP	2026-08-04 07:25:00.019505	14.9	52.22	0	filter:pm_rvol_too_low: pm_rvol=0.36x (today 716 / baseline 1,980 n=13) < 1.0x				8		0.362	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 07:30:00.032383	14.9	52.22	0	filter:pm_rvol_too_low: pm_rvol=0.33x (today 716 / baseline 2,189 n=13) < 1.0x				7		0.327	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 07:35:00.020954	14.61	52.22	0	filter:pm_rvol_too_low: pm_rvol=0.63x (today 1,387 / baseline 2,189 n=13) < 1.0x				9		0.634	968127.139957	polygon_20d		polygon_delayed
