BCS|2026-04-08|9.97|24.10|24.10|21.91|23.51|2.60|286.2|2.00|0|0||0|||||
BE|2026-04-08|9.93|149.40|156.79|135.91|146.78|8.93|1566.4|11.92|1|0||0|||||
BTDR|2026-04-08|10.68|10.42|10.48|9.41|10.36|8.36|86.0|5.49|0|0||0|||||
CAMT|2026-04-08|8.37|172.55|177.31|159.22|170.09|5.98|55.8|3.95|0|0||0|||||
CDE|2026-04-08|9.21|20.75|20.89|19.00|19.72|6.56|420.8|1.35|0|0||0|||||
CIFR|2026-04-08|8.85|15.25|15.58|14.01|15.42|7.84|553.1|6.24|0|0||0|||||
COHR|2026-04-08|8.70|277.30|284.98|255.10|281.79|7.93|2028.3|3.72|0|0||0|||||
CPA|2026-04-08|9.36|122.00|123.89|111.56|119.17|3.90|129.6|2.45|0|0||0|||||
DAL|2026-04-08|11.25|73.00|74.19|65.62|68.08|3.34|1403.7|3.05|0|0||0|||||
ELPW|2026-04-08|75.00|122.85|135.90|70.20|101.25|16.27|67.2|21.71|1|0||0|||||
ENTG|2026-04-08|8.04|128.08|130.82|118.55|129.60|4.73|482.0|4.82|0|0||0|||||
FLNC|2026-04-08|9.89|14.56|14.61|13.25|13.12|7.05|70.4|3.05|0|0||0|||||
FND|2026-04-08|8.86|51.87|54.20|47.65|51.13|4.59|215.6|2.31|0|0||0|||||
GCT|2026-04-08|8.05|44.30|46.98|41.00|45.55|5.64|52.5|2.46|0|0||0|||||
GFI|2026-04-08|14.41|52.77|52.97|46.12|48.67|4.44|226.4|1.17|0|0||0|||||
GLXY|2026-04-08|9.13|20.33|20.80|18.63|19.00|6.53|100.6|10.12|1|0||0|||||
HBM|2026-04-08|8.81|23.77|24.41|21.84|23.78|4.71|173.8|2.34|0|0||0|||||
HMY|2026-04-08|11.99|17.74|17.79|15.84|16.57|4.39|104.0|3.78|0|0||0|||||
HOOD|2026-04-08|10.27|76.80|77.87|69.65|71.83|4.42|2345.0|6.78|0|0||0|||||
HRI|2026-04-08|8.01|101.71|104.87|94.17|101.52|5.04|78.3|7.69|0|0||0|||||
HUT|2026-04-08|8.40|57.09|63.66|52.66|61.43|7.20|680.3|11.29|1|0||0|||||
HYMC|2026-04-08|11.46|40.76|41.65|36.57|37.00|9.45|108.9|2.52|0|0||0|||||
IREN|2026-04-08|8.28|38.70|38.90|35.74|36.83|7.11|1296.9|9.41|1|0||0|||||
JHX|2026-04-08|9.39|20.50|20.98|18.74|20.20|3.91|219.2|3.08|0|0||0|||||
KTOS|2026-04-08|10.31|79.38|79.44|71.96|74.46|6.56|273.8|0.57|0|0||0|||||
LASR|2026-04-08|9.58|63.25|64.13|57.72|60.32|8.30|77.9|3.98|0|0||0|||||
LEVI|2026-04-08|14.92|22.65|22.96|19.71|21.81|3.44|251.4|2.45|0|0||0|||||
LIF|2026-04-08|12.18|46.25|46.77|41.23|43.97|5.00|80.0|2.88|0|0||0|||||
LMND|2026-04-08|8.14|62.74|63.00|58.02|58.94|5.71|103.2|4.11|0|0||0|||||
LRCX|2026-04-08|8.20|242.75|249.19|224.35|246.49|4.80|2700.4|4.35|0|0||0|||||
LUNR|2026-04-08|8.84|24.74|25.00|22.73|23.39|10.89|419.2|3.05|0|0||0|||||
LUV|2026-04-08|12.69|42.68|43.43|37.87|40.40|4.15|490.5|2.70|0|0||0|||||
MSTR|2026-04-08|8.04|133.67|134.50|123.72|128.30|4.95|2182.1|9.77|1|0||0|||||
MT|2026-04-08|12.06|60.29|60.54|53.80|60.04|3.25|207.3|1.77|0|0||0|||||
MU|2026-04-08|9.94|415.13|416.00|377.58|406.73|6.02|19809.2|10.65|1|0||0|||||
NBIS|2026-04-08|8.07|126.88|127.75|117.40|125.00|6.98|2337.6|8.13|1|0||0|||||
NCLH|2026-04-08|9.66|20.54|21.22|18.73|20.16|4.44|608.2|2.30|0|0||0|||||
NWG|2026-04-08|8.67|16.67|16.69|15.34|16.41|2.25|65.0|2.10|0|0||0|||||
OKLO|2026-04-08|8.44|50.52|51.38|46.59|50.21|6.95|426.6|8.97|1|0||0|||||
ONTO|2026-04-08|8.23|237.14|240.84|219.11|240.49|5.31|241.9|5.92|0|0||0|||||
OSCR|2026-04-08|10.52|14.34|14.98|12.97|14.64|5.13|220.5|7.24|0|0||0|||||
PPG|2026-04-08|8.14|110.56|111.01|102.24|110.47|2.83|284.1|2.53|0|0||0|||||
QBTS|2026-04-08|10.99|15.25|15.35|13.74|14.57|6.54|316.7|9.94|1|0||0|||||
RCAT|2026-04-08|9.52|13.23|13.64|12.08|13.04|12.32|180.2|0.71|0|0||0|||||
RCL|2026-04-08|9.95|294.34|304.40|267.71|279.26|3.64|1108.1|1.58|0|0||0|||||
RGTI|2026-04-08|9.39|15.14|15.41|13.84|14.53|6.69|357.6|5.80|0|0||0|||||
RIOT|2026-04-08|9.16|15.49|16.32|14.19|16.11|7.11|456.7|6.66|0|0||0|||||
RKLB|2026-04-08|8.56|72.00|73.67|66.32|69.08|7.69|1963.2|4.52|0|0||0|||||
SAN|2026-04-08|8.01|12.34|12.35|11.42|12.20|2.68|148.8|2.60|0|0||0|||||
SBSW|2026-04-08|11.54|13.82|13.85|12.39|13.18|4.71|118.2|1.68|0|0||0|||||
SCCO|2026-04-08|8.67|187.19|188.12|172.25|185.32|4.29|302.4|1.46|0|0||0|||||
SE|2026-04-08|9.39|89.00|92.77|81.36|85.31|3.53|463.6|2.70|0|0||0|||||
SN|2026-04-08|8.92|113.44|116.39|104.15|111.91|5.04|213.1|2.22|0|0||0|||||
SNDK|2026-04-08|10.30|784.00|807.99|710.80|780.90|7.74|13037.6|10.90|1|0||0|||||
SOFI|2026-04-08|9.75|17.68|17.85|16.11|16.49|4.61|1046.9|4.79|0|0||0|||||
STRL|2026-04-08|8.20|413.58|425.00|382.22|423.35|5.85|231.9|18.79|1|0||0|||||
TECK|2026-04-08|8.96|57.25|57.42|52.54|55.69|3.49|217.2|3.90|0|0||0|||||
TSEM|2026-04-08|9.14|208.31|209.03|190.86|203.66|7.98|635.8|1.79|0|0||0|||||
UAL|2026-04-08|11.37|99.45|102.50|89.30|96.30|4.51|1610.3|2.23|0|0||0|||||
UCTT|2026-04-08|10.41|69.99|70.88|63.39|68.65|7.31|129.7|3.79|0|0||0|||||
UEC|2026-04-08|8.70|14.25|14.61|13.11|13.96|6.81|134.6|2.13|0|0||0|||||
USAR|2026-04-08|9.36|16.01|16.98|14.64|16.78|7.98|256.5|8.89|1|0||0|||||
UUUU|2026-04-08|8.37|18.90|19.48|17.44|18.38|6.97|182.0|4.15|0|0||0|||||
VICR|2026-04-08|9.60|175.18|185.72|159.83|179.99|8.38|148.1|7.56|0|0||0|||||
VIK|2026-04-08|9.33|78.15|80.48|71.48|77.89|3.91|297.5|2.99|0|0||0|||||
ZETA|2026-04-08|8.14|17.00|17.04|15.72|15.72|5.10|108.5|5.19|0|0||0|||||
DKI|2026-04-09|15.24|7.32|19.36|6.35|15.41|7.94|207.1|-3.47|0|0||0|||||
FBRX|2026-04-09|10.93|29.14|35.80|26.27|33.90|9.70|92.8|0.50|0|0||0|||||
STAA|2026-04-09|19.01|24.85|26.70|20.88|25.21|5.24|140.4|2.25|0|0||0|||||
WSR|2026-04-09|11.48|18.89|18.95|16.94|18.93|1.91|103.2|0.22|0|0||0|||||
AIXI|2026-04-10|52.33|30.20|32.00|19.83|24.40|30.42|173.1|0.49|0|0||0|||||
ALMU|2026-04-13|30.45|14.03|16.56|10.76|15.35|8.45|203.6|11.45|1|0||1|quality filter: Market cap too low ($194M)||scan_filter|mcap_low|quality filter: Market cap too low ($194M)
IDYA|2026-04-13|14.49|34.92|38.10|30.50|32.82|4.98|328.9|1.13|0|0||1|<none>|50.4|moderate_alert|moderate_tier|<null>
OPTX|2026-04-13|10.59|10.34|12.20|9.35|11.66|12.18|65.8|0.27|0|0||1|low rel volume 1.2x < 2.0x||scan_filter|session_rvol_low|low rel volume 1.2x < 2.0x
RVMD|2026-04-13|37.16|132.26|136.80|96.43|136.30|3.30|1965.9|4.32|0|0||1|low rel volume 1.9x < 2.0x||scan_filter|session_rvol_low|low rel volume 1.9x < 2.0x
SKYQ|2026-04-13|49.32|18.80|19.45|12.59|11.62|27.19|257.1|-0.10|0|0||1|low rel volume 0.5x < 2.0x||scan_filter|session_rvol_low|low rel volume 0.5x < 2.0x
SYRE|2026-04-13|30.63|67.00|75.00|51.29|63.27|5.72|337.6|4.29|0|0||1|low rel volume 1.4x < 2.0x||scan_filter|session_rvol_low|low rel volume 1.4x < 2.0x
AVNS|2026-04-14|68.96|24.55|24.70|14.53|24.63|3.06|587.6|0.37|0|0||1|<none>|64.8|moderate_alert|moderate_tier|<null>
BE|2026-04-14|14.78|202.78|219.27|176.67|219.03|9.27|5407.4|4.13|0|0||1|low rel volume 0.3x < 2.0x||scan_filter|session_rvol_low|low rel volume 0.3x < 2.0x
CRDO|2026-04-14|14.79|154.23|163.68|134.36|159.57|7.69|2938.2|4.19|0|0||1|outside top-20 gap cap (gap 13.3%)||scan_filter|outside_top20|outside top-20 gap cap (gap 13.3%)
GSAT|2026-04-14|8.11|78.80|81.07|72.89|79.91|7.09|985.9|0.55|0|0||1|outside top-20 gap cap (gap 8.6%)||scan_filter|outside_top20|outside top-20 gap cap (gap 8.6%)
OKLO|2026-04-14|9.55|59.09|61.61|53.94|58.58|7.44|1053.8|5.26|0|0||1|outside top-20 gap cap (gap 11.7%)||scan_filter|outside_top20|outside top-20 gap cap (gap 11.7%)
TVTX|2026-04-14|35.28|41.53|43.31|30.70|42.13|5.32|602.9|2.89|0|0||1|<none>|100|||
BIRD|2026-04-15|173.90|6.82|24.31|2.49|16.99|9.87|4721.7|-1.52|0|0||0|||||
QBTS|2026-04-15|9.16|18.53|21.04|16.97|20.81|6.89|2006.1|2.77|0|0||0|||||
XNDU|2026-04-15|15.44|17.12|28.25|14.83|25.18|19.95|224.3|3.44|0|0||0|||||
AEHR|2026-04-16|15.62|84.66|91.43|73.22|80.85|11.15|679.7|3.10|0|0||1|low rel volume 0.8x < 2.0x (post-open)||||
CDNA|2026-04-16|23.79|21.75|22.81|17.57|22.42|5.46|66.7|0.67|0|0||1|low rel volume 0.9x < 2.0x (post-open)||scan_filter|session_rvol_low|low rel volume 0.9x < 2.0x (post-open)
LIF|2026-04-16|9.34|46.57|46.79|42.59|46.05|5.47|57.3|1.69|0|0||0|||||
NEXA|2026-04-16|12.32|16.46|16.55|14.65|14.87|6.18|66.3|2.20|0|0||1|low rel volume 0.2x < 2.0x (post-open)||scan_filter|session_rvol_low|low rel volume 0.2x < 2.0x (post-open)
NN|2026-04-16|9.99|18.67|21.57|16.97|21.49|8.09|177.0|1.55|0|0||1|low rel volume 0.3x < 2.0x (post-open)||scan_filter|session_rvol_low|low rel volume 0.3x < 2.0x (post-open)
ONTO|2026-04-16|11.24|288.00|288.00|258.90|267.15|5.42|321.8|3.38|0|0||1|low rel volume 0.0x < 2.0x (post-open)||scan_filter|session_rvol_low|low rel volume 0.0x < 2.0x (post-open)
XNDU|2026-04-16|17.16|29.50|42.44|25.18|32.67|22.11|546.0|1.01|0|0||1|already up 234% in prior 5 days (extended)||scan_filter|extension_gate|already up 234% in prior 5 days (extended)
BIRD|2026-04-17|14.85|12.53|13.48|10.91|10.80|16.12|215.0|0.98|0|0||1|already up 356% in prior 5 days (extended)||scan_filter|extension_gate|already up 356% in prior 5 days (extended)
CRML|2026-04-17|22.01|11.31|13.75|9.27|12.56|9.11|919.5|1.70|0|0||1|low volume rel_vol 0.9x < 2.0x (post-open)||scan_filter|session_rvol_low|low volume rel_vol 0.9x < 2.0x (post-open)
UAL|2026-04-17|8.26|102.88|105.98|95.03|101.80|4.61|1326.5|0.42|0|0||0|||||
